ID_pose,English Name,Type_of_tracking,Angle,symetric Y/N,Popularity,Category,File_Name
1,Big Toe (right),HBR,profile,n,,Standing,big_toe_right_woman.png
2,Big Toe (left),HBL,profile,n,,Standing,big_toe_left_woman.png
3,Bird of Paradise (right),FB,profile,n,,Standing,bird_of_paradise_right_woman.png
4,Bird of Paradise (left),FB,profile,n,,Standing,bird_of_paradise_left_woman.png
5,Revolved Bird of Paradise (right),FB,profile,n,,Standing,revolved_bird_of_paradise_right_woman.png
6,Revolved Bird of Paradise (left),FB,profile,n,,Standing,revolved_bird_of_paradise_left_woman.png
7,Chair (right),HBR,profile,n,15,Standing,chair_right_woman.png
8,Chair (left),HBL,profile,n,15,Standing,chair_left_woman.png
9,Crescent Lunge (right),FB,profile,n,,Standing,crescent_lunge_right_woman.png
10,Crescent Lunge (left),FB,profile,n,,Standing,crescent_lunge_left_woman.png
11,Crescent Lunge on the Knee (right),FB,profile,n,,Standing,crescent_lunge_on_the_knee_right_woman.png
12,Crescent Lunge on the Knee (left),FB,profile,n,,Standing,crescent_lunge_on_the_knee_left_woman.png
13,Crescent Moon (right),HBR,profile,n,,Standing,crescent_moon_right_woman.png
14,Crescent Moon (left),HBL,profile,n,,Standing,crescent_moon_left_woman.png
15,Eagle (right),FB,profile,n,,Standing,eagle_right_woman.png
16,Eagle (left),FB,profile,n,,Standing,eagle_left_woman.png
17,Standing Firefly (right),HBR,profile,n,,Standing,standing_firefly_right_woman.png
18,Standing Firefly (left),HBL,profile,n,,Standing,standing_firefly_left_woman.png
19,Standing Foot Behind the Head (right),FB,profile,n,,Standing,standing_foot_behind_the_head_right_woman.png
20,Standing Foot Behind the Head (left),FB,profile,n,,Standing,standing_foot_behind_the_head_left_woman.png
21,Standing Foot to Head (right),FB,profile,n,,Standing,standing_foot_to_head_right_woman.png
22,Standing Foot to Head (left),FB,profile,n,,Standing,standing_foot_to_head_left_woman.png
23,Standing Foot Behind the Head Forward Bend (right),FB,profile,n,,Standing,standing_foot_behind_the_head_forward_bend_right_woman.png
24,Standing Foot Behind the Head Forward Bend (left),FB,profile,n,,Standing,standing_foot_behind_the_head_forward_bend_left_woman.png
25,Standing Forward Bend (right),HBR,profile,n,,Standing,standing_forward_bend_right_woman.png
26,Standing Forward Bend (left),HBL,profile,n,,Standing,standing_forward_bend_left_woman.png
27,Standing Half Bound Lotus Forward Bend (right),FB,profile,n,,Standing,standing_half_bound_lotus_forward_bend_right_woman.png
28,Standing Half Bound Lotus Forward Bend (left),FB,profile,n,,Standing,standing_half_bound_lotus_forward_bend_left_woman.png
29,Goddess,FB,face,y,,Standing,goddess_woman.png
30,Gorilla (right),HBR,profile,n,,Standing,gorilla_right_woman.png
31,Gorilla (left),HBL,profile,n,,Standing,gorilla_left_woman.png
32,Half Moon (right),FB,profile,n,,Standing,half_moon_ardha_right_woman.png
33,Half Moon (left),FB,profile,n,,Standing,half_moon_ardha_left_woman.png
34,Revolved Half Moon (right),FB,profile,n,,Standing,revolved_half_moon_right_woman.png
35,Revolved Half Moon (left),FB,profile,n,,Standing,revolved_half_moon_left_woman.png
36,Extended Standing Hand to Big Toe (right),FB,face,n,,Standing,extended_standing_hand_to_big_toe_right_woman.png
37,Extended Standing Hand to Big Toe (left),FB,face,n,,Standing,extended_standing_hand_to_big_toe_left_woman.png
38,Revolved Standing Hand to Big Toe (right),FB,profile,n,,Standing,revolved_standing_hand_to_big_toe_right_woman.png
39,Revolved Standing Hand to Big Toe (left),FB,profile,n,,Standing,revolved_standing_hand_to_big_toe_left_woman.png
40,Standing Hand to Big Toe (right),FB,profile,n,,Standing,standing_hand_to_big_toe_right_woman.png
41,Standing Hand to Big Toe (left),FB,profile,n,,Standing,standing_hand_to_big_toe_left_woman.png
42,Mountain,FB,Face,y,9,Standing,mountain_woman.png
43,Pyramid (right),FB,profile,n,,Standing,pyramid_right_woman.png
44,Pyramid (left),FB,profile,n,,Standing,pyramid_left_woman.png
45,Shiva Squat (right),FB,profile,n,,Standing,shiva_squat_right_woman.png
46,Shiva Squat (left),FB,profile,n,,Standing,shiva_squat_left_woman.png
47,Extended Side Angle (right),FB,profile,n,,Standing,extended_side_angle_right_woman.png
48,Extended Side Angle (left),FB,profile,n,,Standing,extended_side_angle_left_woman.png
49,Standing Splits (right),FB,profile,n,,Standing,standing_splits_right_woman.png
50,Standing Splits (left),FB,profile,n,,Standing,standing_splits_left_woman.png
51,Standing Bow (right),FB,profile,n,,Standing,standing_bow_right_woman.png
52,Standing Bow (left),FB,profile,n,,Standing,standing_bow_left_woman.png
53,Star,FB,Face,y,,Standing,star_woman.png
54,Tree (right),FB,Face,n,7,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/treeyogapose.png
55,Tree (left),FB,Face,n,7,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/treeyogapose.png
56,Triangle (right),FB,Face,n,6,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/TrianglePose.png
57,Triangle (left),FB,Face,n,6,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/TrianglePose.png
58,Revolved Triangle (right),FB,Face,n,,Standing,revolved_triangle_right_woman.png
59,Revolved Triangle (left),FB,Face,n,,Standing,revolved_triangle_left_woman.png
60,Warrior I (right),FB,Profile,n,4,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/warrioriii.png
61,Warrior I (left),FB,Profile,n,4,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/warrioriii.png
62,Warrior II (right),FB,Profile,n,3,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/WarriorII.png
63,Warrior II (left),FB,Profile,n,3,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/WarriorII.png
64,Warrior III (right),FB,Profile,n,5,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/warrioriii.png
65,Warrior III (left),FB,Profile,n,5,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/warrioriii.png
66,Wide Legged Forward Bend I,FB,Face,y,,Standing,wide_legged_forward_bend_i_woman.png
67,Wide Legged Forward Bend II,FB,Face,y,,Standing,wide_legged_forward_bend_ii_woman.png
68,Wide Legged Forward Bend III,FB,Face,y,,Standing,wide_legged_forward_bend_iii_woman.png
69,Wide Legged Forward Bend IV,FB,Face,y,,Standing,wide_legged_forward_bend_iv_woman.png
70,Archer's (right),FB,Profile,n,,Seated,archers_right_woman.png
71,Archer's (left),FB,Profile,n,,Seated,archers_left_woman.png
72,Boat (right),HBR,profile,n,17,Seated,boat_right_woman.png
73,Boat (left),HBL,profile,n,17,Seated,boat_left_woman.png
74,Both Feet Behind the Head I (right),HBR,profile,n,,Seated,both_feet_behind_the_head_i_right_woman.png
75,Both Feet Behind the Head I (left),HBL,profile,n,,Seated,both_feet_behind_the_head_i_left_woman.png
76,Bound Angle,FB,Face,y,,Seated,bound_angle_woman.png
77,Butterfly (right),HBR,profile,n,,Seated,butterfly_right_woman.png
78,Butterfly (left),HBL,profile,n,,Seated,butterfly_left_woman.png
79,Caterpillar (right),HBR,profile,n,,Seated,caterpillar_right_woman.png
80,Caterpillar (left),HBL,profile,n,,Seated,caterpillar_left_woman.png
81,Easy,FB,Face,y,,Seated,easy_woman.png
82,Embryo in Womb,FB,Face,y,,Seated,embryo_in_womb_woman.png
83,Fire Log,FB,Face,y,,Seated,fire_log_woman.png
84,Foot Behind the Head I (right),FB,Face,n,,Seated,foot_behind_the_head_i_right_woman.png
85,Foot Behind the Head I (left),FB,Face,n,,Seated,foot_behind_the_head_i_left_woman.png
86,Seated Forward Bend I (right),HBR,profile,n,14,Seated,seated_forward_bend_i_right_woman.png
87,Seated Forward Bend I (left),HBL,profile,n,14,Seated,seated_forward_bend_i_left_woman.png
88,Seated Forward Bend II (right),HBR,profile,n,,Seated,seated_forward_bend_ii_right_woman.png
89,Seated Forward Bend II (left),HBL,profile,n,,Seated,seated_forward_bend_ii_left_woman.png
90,Seated Forward Bend III (right),HBR,profile,n,,Seated,seated_forward_bend_iii_right_woman.png
91,Seated Forward Bend III (left),HBL,profile,n,,Seated,seated_forward_bend_iii_left_woman.png
92,Seated Forward Bend IV (right),HBR,profile,n,,Seated,seated_forward_bend_iv_right_woman.png
93,Seated Forward Bend IV (left),HBL,profile,n,,Seated,seated_forward_bend_iv_left_woman.png
94,Seated Half Bound Lotus Forward Bend (right),FB,profile,n,,Seated,seated_half_bound_lotus_forward_bend_right_woman.png
95,Seated Half Bound Lotus Forward Bend (left),FB,profile,n,,Seated,seated_half_bound_lotus_forward_bend_left_woman.png
96,Seated Three Limbed Forward Bend (right),FB,profile,n,,Seated,seated_three_limbed_forward_bend_right_woman.png
97,Seated Three Limbed Forward Bend (left),FB,profile,n,,Seated,seated_three_limbed_forward_bend_left_woman.png
98,Garland,FB,Face,y,,Seated,garland_woman.png
99,Seated Gate (right),FB,Face,n,,Seated,seated_gate_right_woman.png
100,Seated Gate (left),FB,Face,n,,Seated,seated_gate_left_woman.png
101,Revolved Seated Hand to Big (right),FB,Profile,n,,Seated,revolved_seated_hand_to_big_right_woman.png
102,Revolved Seated Hand to Big (left),FB,Profile,n,,Seated,revolved_seated_hand_to_big_left_woman.png
103,Head to Knee I (right),FB,Profile,n,,Seated,head_to_knee_i_right_woman.png
104,Head to Knee I (left),FB,Profile,n,,Seated,head_to_knee_i_left_woman.png
105,Hero (right),HBR,profile,n,,Seated,hero_right_woman.png
106,Hero (left),HBL,profile,n,,Seated,hero_left_woman.png
107,Heron (right),FB,Profile,n,,Seated,heron_right_woman.png
108,Heron (left),FB,Profile,n,,Seated,heron_left_woman.png
109,Lord of the Fishes (right),FB,Profile,n,,Seated,lord_of_the_fishes_right_woman.png
110,Lord of the Fishes (left),FB,Profile,n,,Seated,lord_of_the_fishes_left_woman.png
111,Lotus,FB,Face,y,,Seated,lotus_woman.png
112,Noose (right),FB,Profile,n,,Seated,noose_right_woman.png
113,Noose (left),FB,Profile,n,,Seated,noose_left_woman.png
114,Half Pigeon (right),FB,Profile,n,,Seated,half_pigeon_right_woman.png
115,Half Pigeon (left),FB,Profile,n,,Seated,half_pigeon_left_woman.png
116,Rock the Baby (right),FB,Profile,n,,Seated,rock_the_baby_right_woman.png
117,Rock the Baby (left),FB,Profile,n,,Seated,rock_the_baby_left_woman.png
