ID_pose,English Name,Type_of_tracking,Angle,symetric Y/N,Popularity,Category,File_Name
1,Big Toe (right),HBR,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
2,Big Toe (left),HBL,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
3,Bird of Paradise (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
4,Bird of Paradise (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
5,Revolved Bird of Paradise (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
6,Revolved Bird of Paradise (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
7,Chair (right),HBR,profile,n,15,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
8,Chair (left),HBL,profile,n,15,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
9,Crescent Lunge (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
10,Crescent Lunge (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
11,Crescent Lunge on the Knee (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
12,Crescent Lunge on the Knee (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
13,Crescent Moon (right),HBR,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
14,Crescent Moon (left),HBL,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
15,Eagle (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
16,Eagle (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
17,Standing Firefly (right),HBR,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
18,Standing Firefly (left),HBL,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
19,Standing Foot Behind the Head (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
20,Standing Foot Behind the Head (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
21,Standing Foot to Head (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
22,Standing Foot to Head (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
23,Standing Foot Behind the Head Forward Bend (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
24,Standing Foot Behind the Head Forward Bend (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
25,Standing Forward Bend (right),HBR,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
26,Standing Forward Bend (left),HBL,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
27,Standing Half Bound Lotus Forward Bend (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
28,Standing Half Bound Lotus Forward Bend (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
29,Goddess,FB,face,y,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
30,Gorilla (right),HBR,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
31,Gorilla (left),HBL,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
32,Half Moon (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
33,Half Moon (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
34,Revolved Half Moon (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
35,Revolved Half Moon (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
36,Extended Standing Hand to Big Toe (right),FB,face,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
37,Extended Standing Hand to Big Toe (left),FB,face,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
38,Revolved Standing Hand to Big Toe (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
39,Revolved Standing Hand to Big Toe (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
40,Standing Hand to Big Toe (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
41,Standing Hand to Big Toe (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
42,Mountain,FB,Face,y,9,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
43,Pyramid (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
44,Pyramid (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
45,Shiva Squat (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
46,Shiva Squat (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
47,Extended Side Angle (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
48,Extended Side Angle (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
49,Standing Splits (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
50,Standing Splits (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
51,Standing Bow (right),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
52,Standing Bow (left),FB,profile,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
53,Star,FB,Face,y,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
54,Tree (right),FB,Face,n,7,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/treeyogapose.png
55,Tree (left),FB,Face,n,7,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/treeyogapose.png
56,Triangle (right),FB,Face,n,6,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/TrianglePose.png
57,Triangle (left),FB,Face,n,6,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/TrianglePose.png
58,Revolved Triangle (right),FB,Face,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
59,Revolved Triangle (left),FB,Face,n,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
60,Warrior I (right),FB,Profile,n,4,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/warrioriii.png
61,Warrior I (left),FB,Profile,n,4,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/warrioriii.png
62,Warrior II (right),FB,Profile,n,3,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/WarriorII.png
63,Warrior II (left),FB,Profile,n,3,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/WarriorII.png
64,Warrior III (right),FB,Profile,n,5,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/warrioriii.png
65,Warrior III (left),FB,Profile,n,5,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/warrioriii.png
66,Wide Legged Forward Bend I,FB,Face,y,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
67,Wide Legged Forward Bend II,FB,Face,y,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
68,Wide Legged Forward Bend III,FB,Face,y,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
69,Wide Legged Forward Bend IV,FB,Face,y,,Standing,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
70,Archer's (right),FB,Profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
71,Archer's (left),FB,Profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
72,Boat (right),HBR,profile,n,17,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
73,Boat (left),HBL,profile,n,17,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
74,Both Feet Behind the Head I (right),HBR,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
75,Both Feet Behind the Head I (left),HBL,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
76,Bound Angle,FB,Face,y,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
77,Butterfly (right),HBR,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
78,Butterfly (left),HBL,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
79,Caterpillar (right),HBR,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
80,Caterpillar (left),HBL,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
81,Easy,FB,Face,y,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
82,Embryo in Womb,FB,Face,y,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
83,Fire Log,FB,Face,y,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
84,Foot Behind the Head I (right),FB,Face,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
85,Foot Behind the Head I (left),FB,Face,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
86,Seated Forward Bend I (right),HBR,profile,n,14,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
87,Seated Forward Bend I (left),HBL,profile,n,14,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
88,Seated Forward Bend II (right),HBR,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
89,Seated Forward Bend II (left),HBL,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
90,Seated Forward Bend III (right),HBR,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
91,Seated Forward Bend III (left),HBL,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
92,Seated Forward Bend IV (right),HBR,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
93,Seated Forward Bend IV (left),HBL,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
94,Seated Half Bound Lotus Forward Bend (right),FB,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
95,Seated Half Bound Lotus Forward Bend (left),FB,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
96,Seated Three Limbed Forward Bend (right),FB,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
97,Seated Three Limbed Forward Bend (left),FB,profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
98,Garland,FB,Face,y,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
99,Seated Gate (right),FB,Face,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
100,Seated Gate (left),FB,Face,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
101,Revolved Seated Hand to Big (right),FB,Profile,n,,Seated,http://13.201.150.234/yoga_admin/project/public/yoga/poses/default.png
