S No.,School Code,School Name,State Name,City Name,Address,Email,Phone,PinCode,Description
1,SCH00001  ,2 J.N.MEMORIAL SCHOOL,Rajasthan,Jodhpur,SECTOR-2 KUDI BHAGTASNI HOUSING BORD,NULL,NULL,342001,NULL
2,SCH00003  ,22 ND CENTURY PUBLIC SCHOOL,Karnataka,Mandya,"BANNUR ROAD,MANDYA",NULL,NULL,NULL,NULL
3,SCH00005  ,3R ENGLISH MEDIUM SCHOOL,West Bengal,Howrah,"44 SANTI RAM RASTA, BALLY",NULL,NULL,711201,NULL
4,SCH00006  ,3RD CENTURY GURU TEGH BHADHUR PUBLIC SCHOOL,Delhi,NULL,MANSOROVAR PARK1,NULL,NULL,NULL,NULL
5,SCH00007  ,515 ARMY BASE WORKSHOP HIGH SCHOOL,Karnataka,Bangalore,"CAMBRIDGE ROAD CROSS,ULSOOR",NULL,NULL,560008,NULL
6,SCH00008  ,A . R . S.PUBLIC SCHOOL,Jharkhand,Bokaro,"B. S. L , L. H .STATION ROAD BOKARO",NULL,NULL,827003,NULL
7,SCH00010  ,A K FAZLUL HAQUE SCHOOL,West Bengal,Kolkata,RIPON STREET,NULL,NULL,NULL,NULL
8,SCH00011  ,A N PUBLIC SCHOOL,Rajasthan,Jaipur,"RADHASWAMI BAGH, CHOMU",NULL,NULL,303702,NULL
9,SCH00012  ,A N R PUB. SCHOOL,Bihar,Jehanabad,"KAKO ROAD,HAJIPUR,JEHANABAD",NULL,NULL,804408,NULL
10,SCH00013  ,A ONE PUBLIC SCHOOL,Jharkhand,Ranchi,"NEORI, VIKASH",NULL,NULL,NULL,NULL
11,SCH00014  ,A ONE XAVIERS ENGLISH SCHOOL,Gujarat,Ahmedabad,OPP ADISHWAR NAGAR NIKOL NARODA ROAD NARODA,NULL,NULL,380025,NULL
12,SCH00015  ,A P G PUBLIC SCHOOL,Haryana,Sonipat,"SAMPLA ROAD , KARKODA ROAD , SONIPAT",NULL,NULL,NULL,NULL
13,SCH00017  ,A S M PUBLIC SCHOOL,Rajasthan,Ganganagar,C. C.HEAD PADAMPUR,NULL,NULL,335041,NULL
14,SCH00018  ,A S MODERN SCHOOL,Punjab,Ludhiana,PEER KHANA ROADKHANNA,NULL,NULL,NULL,NULL
15,SCH00020  ,A V INTERNATIONAL SCHOOL,Haryana,Sirsa,SIRSA,principal@avsirsa.com,9896033151,NULL,NULL
16,SCH00021  ,A. B. PATIL ENGLISH MEDIUM SCHOOL,Maharashtra,Sangli ,"INAM DHAMANI KOLHAPUR ROAD, SANGLI, DIST SANGLI",NULL,NULL,416416,NULL
17,SCH00022  ,A. D. DAGA PUBLIC SCHOOL,Rajasthan,Pali,"NEAR ANUBHAV SMARAK, CIRCUIT HOUSE ROAD, TAGORE NAGAR, PALI - MARWAR",NULL,NULL,306401,NULL
18,SCH00025  ,A.B.C FUN HOUSE PLAY SCHOOL,Odisha,Khordha,"E /B-32, BARAGADA BRIT COLONY, BHUBANESWAR",NULL,NULL,NULL,NULL
19,SCH00026  ,A.G MISSION,Bihar,Bettiah,BELBAGH,NULL,NULL,NULL,NULL
20,SCH00028  ,A.K.GHOSH MEMORIAL SCHOOL,West Bengal,Kolkata,"164/A/6,PRINCE ANWAR SHAH ROAD",NULL,NULL,700045,NULL
21,SCH00031  ,A.K.R. MEMORIAL SCHOOL,Karnataka,Bangalore,"THIRUMALA LAYOUT, HORAMAVU AGARA, HORMAVU POST",NULL,NULL,560043,NULL
22,SCH00036  ,A.P. INTERNATIONAL SCHOOL,Punjab,Bhatinda,"RING ROAD, VILLAGE SIVIAN, Bhatinda",NULL,NULL,NULL,NULL
23,SCH00042  ,A.S.C PUBLIC SCHOOL,Karnataka,Bangalore,A.S.C CENTRE SOUTH AGARAM,NULL,NULL,560007,NULL
24,SCH00051  ,A.V.S.PUBLIC SCHOOL,Rajasthan,Bhilwara,"JAIN TIRTH KSHETRA,BIJOLIA",NULL,NULL,311602,NULL
25,SCH00052  ,AADHAR SHEELA PUBLIC SCHOOL,Haryana,Jind,NEW BYE PASS JIND SAFIDON ROAD,NULL,NULL,NULL,NULL
26,SCH00054  ,AADHARSHILA SCHOOL,Gujarat,Gandhinagar,"NR. PANCHWAR MAHADEV, AHMEDABAD- HIMMATNAGAR N.H NO. 8, VALAD",NULL,NULL,382355,NULL
27,SCH00055  ,AADHARSHILA VIDYAPEETH,Delhi,NULL,"CD BLOCK, PITAMPURA",NULL,NULL,110034,NULL
28,SCH00056  ,AADHYA PUBLIC SCHOOL,Delhi,NULL,HOLAMBI KALAN DELHI,NULL,NULL,110082,NULL
29,SCH00057  ,AAKANSHA INTERNATIONAL SCHOOL,Rajasthan,Nagaur,MUNDAWA ROAD,NULL,123,341001,NULL
30,SCH00058  ,AAKASH INTERNATIONAL SCHOOL,Haryana,Jhajjar,JHAJJAR ROAD SEC 36,NULL,NULL,NULL,NULL
31,SCH00060  ,DPS-84,Haryana,Gurgaon,SECTOR-84 NEW GURGAON,NULL,NULL,NULL,NULL
32,SCH00061  ,AARYAN INTERNATIONAL SCHOOL,Delhi,NULL,OM VIHAR PHASE-1 AARYAN GARDEN UTTAM NAGAR-59,NULL,NULL,NULL,NULL
33,SCH00062  ,AARYAVART PUBLIC SCHOOL,Haryana,Bhiwani,ADMPUR,NULL,NULL,NULL,NULL
34,SCH00064  ,AATMAN INTERNATIONAL SCHOOL,Gujarat,Ahmedabad,"T.P.NO.33,VANDE MATRAM ROAD,OPP.SHAYONA TILAK 1&2,GOTA",NULL,NULL,382481,NULL
35,SCH00066  ,ABANTI KUMAR MAHANTA EDUCATIONAL INSTITUTE,Assam,Karimganj,L.B. ROAD,NULL,NULL,788710,NULL
36,SCH00067  ,ABBOT SHISHU HALL,West Bengal,Hugli-Chinsurah (Hugli-Chuchura),IMAMBAZAR RD.HOOGHLY,NULL,NULL,712103,NULL
37,SCH00072  ,ABHINAV BHARTI HIGH SCHOOL,West Bengal,Kolkata,"11 , PRETORIA STREET",NULL,NULL,700071,NULL
38,SCH00073  ,ABHINAV PUBLIC SCHOOL,Delhi,NULL,CU BLOCK PITAMPURA,NULL,NULL,NULL,NULL
39,SCH00074  ,ABHINAYA BHARATHI VIDYA KENDRA,Karnataka,Mandya,"NEAR COURT, MANDYA",NULL,NULL,NULL,NULL
40,SCH00083  ,ABUL HASAN HIGH SCHOOL,West Bengal,Kolkata,"37, MAULANA SHAUKAT ALI STREET, KOLKATA",NULL,NULL,700073,NULL
41,SCH00085  ,ACHARYA NARENDRA DEO PUBLIC SCHOOL,Bihar,Chhapra,"NEAR KHALPURA HIGH SCHOOL, CHAPRA",NULL,NULL,NULL,NULL
42,SCH00086  ,ACHARYA PATHASALA PUBLIC SCHOOL(ICSE) ,Karnataka,Bangalore,"N.R. COLONY, BASAVANAGUDI,  BANGALORE - 560019, KARNATAKA",NULL,NULL,560019,NULL
43,SCH00088  ,ACHARYA VIDYAKULA,Karnataka,Mysore,"ACHARYASHRAMA, TEMPLE RD, JAYALAKSHMIPURAM,YELWALA MYSURU, KARNATAKA 570012",NULL,NULL,571130,NULL
44,SCH00092  ,ACM SCHOOL,Jammu and Kashmir,Jammu,JANIPUR HOUSING COLONYJAMMU,NULL,NULL,180001,NULL
45,SCH00093  ,ACME ACADEMY,West Bengal,Barddhaman (Bardhaman),"S.T.K.K ROAD,P.O - KALNA",NULL,NULL,713409,NULL
46,SCH00094  ,ACTIVITY PUBLIC SCHOOL,Jammu and Kashmir,Jammu,JANIPUR COLONY,NULL,NULL,NULL,NULL
47,SCH00096  ,ACTS SECONDARY SCHOOL,Karnataka,Bangalore,"LAVAKUSHA NAGAR, PRAGATHI NAGAR, NO.15, K.M. HOSUR MAIN ROAD, ELECTRONIC CITY POST, BANGALORE--560100 (KARNATAKA )",NULL, 080 2852 1538,560100,NULL
48,SCH00097  ,ADAM & EVE SCHOOL,Karnataka,Raichur,SINDHANNUR ROAD BASAVAMMA DEGREE COLLEGE,NULL,NULL,584123,NULL
49,SCH00099  ,ADAM SCHOOL,Karnataka,Raichur,BERANKULLA NEAR NAVRANG DARWAJA RAICHUR,NULL,NULL,585103,NULL
50,SCH00100  ,ADAMAS INTERNATIONAL SCHOOL,West Bengal,Barasat,"58/4,M.M FEEDER ROAD,BELGHARIA",NULL,NULL,700056,NULL
51,SCH00102  ,ADANI  PUBLIC SCHOOL,Gujarat,Mundra,"NANA KAPAYA MUNDRA -370201, DISTT. KACHCHH (GUJARAT )",NULL,02838-287260,370201,NULL
