Client ID,Client Code,Client Name,Owner Name,State,City,Address,Email,Phone,Pin Code,latitude,longitude
19557,BKS03137,JYOTHI BOOK STALL,,Andhra Pradesh,Anantapur,"NEAR HEAD POST OFFICE, NEW TOWN, ANANTAPUR--515001 (ANDHRA PRADESH )",,,,,
15150,BKS02875,JYOTHI BOOK DEPOT,mr ravi kumar,Andhra Pradesh,Anantapur,"SUBHASH ROAD , NEAR HEAD POST OFFICE",,9849274962,515001,,
14934,BKS02660,S.L.V BOOK DISTRIBUTORS,,Andhra Pradesh,Anantapur,"NEAR SAPTHAGIRI CIRCLE, BESIDE OF LALITHA KALA PARISATH",,,515001,,
14936,BKS02662,SREE VIDYA BOOK STALL,,Andhra Pradesh,Anantapur,"OPP. K.S.R. GOVT. GIRLS COLLEGE, SHOP NO-16, M.P.L. COMPLEX",,,515001,,
14938,BKS02664,SRI VANI BOOK STORES,MR SREE DHAR,Andhra Pradesh,Anantapur,"B-71, BESIDE SANTHI THEATRE, NEAR TOWER CHOWK SUBHASH",,,515001,,
14930,BKS02656,BALAJI BOOK STALL & DISTRIBUTORS,,Andhra Pradesh,Anantapur,"13-2-445, NEAR POST OFFICE , R.C NAGAR, NEW TOWN, ANANTAPUR--515001 ( ANDHRA PRADESH )",,,,,
14932,BKS02658,JYOTHI BOOK STALL,,Andhra Pradesh,Anantapur,"8/100, SUBHASH ROAD, NEAR HEAD POST OFFICE, NEW TOWN, ANANTAPUR--515001 ( ANDHRA PRADESH )",,,,,
14933,BKS02659,PADMA BOOK STALL,,Andhra Pradesh,Anantapur,"GEETHA MANSION, NEAR CLOCK TOWER",,,515001,,
14931,BKS02657,HARSHA BOOK SHOP,MR SREENATH B.V,Andhra Pradesh,Anantapur,"SHOP NO-64, RAGHUVEERA TOWERS,SUBHASH ROAD",,9848030080,515001,,
14929,BKS02655,ANU BOOK CENTRE,,Andhra Pradesh,Anantapur,"NEAR S.R.S. LODGE OPP. OLD SATYAM CITY, SCANING CENTER",,,515001,,
14937,BKS02663,SREE BOOK STALL,MR SREENIVAS,Andhra Pradesh,Anantapur,NEAR TOWER CLOCK,,,515001,,
14935,BKS02661,SARADA BOOK STORES,,Andhra Pradesh,Anantapur,SUBHASH ROAD,,,515001,,
14939,BKS02665,RAMMURTHY NAIDU DISTRIBUTORS,MR RAMMURTHY NAIDU,Andhra Pradesh,Dharmavaram,"H.NO-29-348, MARUTHI, NAGAR, DHARMAVARAM",,,515671,,
14940,BKS02666,GANESH BOOK SELLER,,Andhra Pradesh,Guntakal,RAILWAY STATION ROAD,,8522228099,515801,,
14941,BKS02667,LINGA MOORTHI BOOK STALL,MR LINGA MOORTHY,Andhra Pradesh,Guntakal,MAIN ROAD,,8552228099,515801,,
14942,BKS02668,VENKATESHWARA BOOK DEPOT,,Andhra Pradesh,Hindupur,"16-6-4, NUT BAZAR, HINDUPUR",,,515201,,
14943,BKS02669,K.C. BALATHIMMAIAH BOOK STALL,,Andhra Pradesh,Tadpatri (Tadipatri),"C.B ROAD, TADAPATRI -515419, DISTT. ANANTAPUR, ANDHARA PRADESH",,,,,
14945,BKS02671,PADMASRI & COMPANY,,Andhra Pradesh,Chittoor,"CHURCH ROAD, CHITTOOR",,,517001,,
14946,BKS02672,PRAGATHI BOOK CENTRE,,Andhra Pradesh,Chittoor,"18-764 , CHURCH STREET, CHITTOOR",,226326,517001,,
14947,BKS02673,NEW SARASWATHI BOOK CENTRE,MR. MANJUNATH,Andhra Pradesh,Kuppam,"NETAJI ROAD, OLDPET, KUPPAM",,,517425,,
14948,BKS02674,M.D. BOOKS & STATIONERY EMPORIUM,,Andhra Pradesh,Madanapalle,"77/18, APPA RAO STREET, MADANAPALLE",,,517325,,
14949,BKS02675,NEW VIDYARTHI BOOK LINKS,,Andhra Pradesh,Madanapalle,"XI/322, NEHRU BAZAR , MADANAPALLE",,8571223477,517325,,
14950,BKS02676,PANDU GENERAL SOTRES,,Andhra Pradesh,Madanapalle,"18, MMC ROOMS, CTM ROAD",,,517325,,
14951,BKS02677,RAMAKRISHNA BOOK DEPOT,,Andhra Pradesh,Madanapalle,"VIII/184-185, SHASTRY STREET ,",,8571228256,517325,,
14952,BKS02678,SRI RAGHAVENDRA BOOK CENTRE,,Andhra Pradesh,Madanapalle,"KADIRI ROAD,MADANAPALLE",,,517325,,
14953,BKS02679,STUDENTS EMPORIUM,,Andhra Pradesh,Madanapalle,"MADANAPALLE, CHITTOOR",,8571262137,517325,,
14954,BKS02680,STUDENTS BOOK TRADERS,,Andhra Pradesh,Madanapalle,"N0.-15, MUINCIPAL ROOMS , C.T.M. ROAD",,,517325,,
14957,BKS02683,ADITYA BOOK CENTRE,MR. S.V. RAO,Andhra Pradesh,Tirupati,"101/5, PRAKASHAM ROAD, TIRUPATI",,8772228653,517501,,
14958,BKS02684,S V BOOK LINKS,MR. P.V. NARAYANA,Andhra Pradesh,Tirupati,"TIRUPATI, CHITTOOR",,9966238567,517001,,
14959,BKS02685,S.V.B. BOOK LINKS,MR. NARASIMHA RAO,Andhra Pradesh,Tirupati,"PRAKASAM ROAD, TIRUPATI",,,517501,,
14960,BKS02686,S.V. BOOK CENTER,MR. NARAYANA,Andhra Pradesh,Tirupati,"PRAKASAM ROAD, TIRUPATI",,,517501,,
14961,BKS02687,SRI VENKATESHWARA BOOK DEPOT,MR. P. MADHUSUDHAN RAO,Andhra Pradesh,Tirupati,"OPP. S.N. HIGH SCHOOL, PRAKASHAM ROAD",,8772240044,517502,,
14962,BKS02688,SRI BOOKS DISTRIBUTORS,MR JANARDHNA,Andhra Pradesh,Tirupati,"1-5-565, 1ST STREET , BESIDE STATE BANK OF MYSORE, BALAJI COLONY, TIRUPATI",,,517502,,
14963,BKS02689,YOGA PRABHA PUBLICATIONS,MR. G. SUDHKAR,Andhra Pradesh,Tirupati,"PRAKASHAM ROAD, TIRUPATI,",,8772227346,517501,,
19565,BKS03145,"S.V. BOOK LINKS,",,Andhra Pradesh,Tirupati,"PRAKASHAM ROAD, TIRUPATI-517507, DISTT. CHITOOR",,,,,
14964,BKS02690,BALAJI BOOK STALL,MR MADHU,Andhra Pradesh,Badvel,MYDUKUR ROAD,,,516227,,
14965,BKS02691,VENKATESWARA BOOK STALL,MR VENKATESWARLU,Andhra Pradesh,Badvel,MYDUKUR ROAD,,,516227,,
14970,BKS02696,SRI KRISHNA BOOK CENTRE,MR N. KRISHNA,Andhra Pradesh,Jammalamadugu,18/26-2 TADIPATRI ROAD,,9440094073,516434,,
16202,BKS02922,Udaya Book Links,,Andhra Pradesh,Kadapa (Cuddapah),"Door No 5/275, Brahmin Street,, Opp. Raghavendra Swamy Temple Cuddapah-516002 (Andhra Pradesh )",,,,,
16201,BKS02921,M/S Sri Hari Traders,Mr. Hari Prasad Gontla,Andhra Pradesh,Proddatur,"Gandhi Road, Proddatur",,9848018193,516360,,
14971,BKS02697,SRI HARI TRADERS,,Andhra Pradesh,Proddatur,"6-844, GANDHI ROAD, PRODDATUR - 516360, DISTT. CUDDAPH, ANDHRA PRADESH",,,,,
14972,BKS02698,SREE GANESH BOOK HOUSE,MR R. ANJANEYA GUPTA,Andhra Pradesh,Proddatur,"12-119, LIGHT PALEM CENTRE",,8564343951,516360,,
14973,BKS02699,SOWDHARIYA BOOK CENTRE,MR. ARCHARULU,Andhra Pradesh,Amalapuram,"NEAR Z. P. SCHOOL, AMALAPURAM",,,533201,,
14974,BKS02700,SRI RAVI BOOK CENTRE,,Andhra Pradesh,Amalapuram,HIGH SCHOOL ROAD,,,533201,,
14975,BKS02701,SRI RAJESHWARI BOOK STALL,"MR.SURI BABU, & MR. K. C. SURYAKUMAR",Andhra Pradesh,Amalapuram,OPP. ZP BOYS HIGH SCHOOL,,8816231897,533201,,
14976,BKS02702,SRI LAXMI SRINIWASA GENERAL STORES,MR. SATYA BABU,Andhra Pradesh,Amalapuram,"OPP. I.O.B , AMALAPURAM",,8856238192,533201,,
14977,BKS02703,VISHALANDHRA GENERAL STORES,MR. VENU GOPAL,Andhra Pradesh,Amalapuram,"OPP. S.B.I., K.AGRAHARAM",,,533201,,
14979,BKS02705,BALAJI BOOK CENTRE,,Andhra Pradesh,Kakinada,"COLLEGE ROAD, KAKINADA",,,533001,,
14980,BKS02706,HIMANSU BOOK TRADERS,,Andhra Pradesh,Kakinada,SUNDER PLAZA,,,533001,,
14981,BKS02707,PRAKASH BOOK DEPOT,,Andhra Pradesh,Kakinada,"SUNDER PLAZA , MASJID JUNCTION",,88562673668,533001,,
14982,BKS02708,SRI VENKATESHWARA BOOKS CENTRE,,Andhra Pradesh,Kakinada,"SURYARAOPETA, MAIN ROAD",,,533001,,
14983,BKS02709,SUDHITA BOOK CENTRE,MR. KIRAN,Andhra Pradesh,Kakinada,"D.NO. 54-5-1, SIVALAYAM STREET, JAGANNAICKPUR, COLLEGE ROAD",,88565590290,533002,,
14984,BKS02710,TAPASWI BOOK POINT,MR. RAVI KUMAR,Andhra Pradesh,Kakinada,"GANGARAJU NAGAR, ROAD NO-4,",,,533001,,
14985,BKS02711,AYYAPPA BOOK SHOP,MR. A. RAJESH,Andhra Pradesh,Pithapuram,"NEAR VEGATABLE MARKET MARKET , SANY ASIRALLU TEMPLE, MAIN ROAD",,,533450,,
14986,BKS02712,SRI NUVASA BOOK STATIONARY,,Andhra Pradesh,Pithapuram,"CHRGE CENTER, PITHAPURAM",,8669255055,533450,,
14987,BKS02713,ANDHRA BOOK STALL,,Andhra Pradesh,Rajahmundry,"MAIN ROAD, RAJAHMUNDRY",,,533101,,
14988,BKS02714,ANDHARA BOOKS & SATIONARY,MR. SUBBA RAO,Andhra Pradesh,Rajahmundry,MAIN ROAD RAJAHMUNDRY,,,533101,,
14989,BKS02715,VISHALANDHRA GENERAL STORES,,Andhra Pradesh,Rajahmundry,"DEVI CHOWK, RAJHAMUNDRY",,8669471504,533104,,
14990,BKS02716,SRIMANIKANTA BOOK CENTRE,,Andhra Pradesh,Rajahmundry,"MAIN ROAD, RAJAHMUNDRY",,86692462507,533101,,
14991,BKS02717,MANIKANT BOOK SHOP,MR. RAMAKRISHNA,Andhra Pradesh,Rajahmundry,"MAIN ROAD, RAJAHMUNDRY",,,533101,,
