Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Position,Status
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : English,Chapter 1 Tree Blessing,1,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : English,Chapter 2 Tenzin and the Yeti,2,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : English,Chapter 3 The Tiny Elf,3,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : English,Chapter 4 If I could be an Astronaut,4,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : English,Chapter 5 The First Post Box,5,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : English,Chapter 6 An Indian Lunch,6,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : English,Chapter 7 Silver,7,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Mathematics,Chapter 1 Numbers up to 999999,1,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Mathematics,Chapter 2 Roman Numerals,2,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Mathematics,Chapter 3 Fractional Numerals,3,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Mathematics,Chapter 4 Addition,4,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Mathematics,Chapter 5 Subtraction,5,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Mathematics,Chapter 6 Multiplication,6,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Mathematics,Chapter 7 Division,7,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Science,Chapter 1 Plants : The Producers,1,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Science,Chapter 2 Adaptations in Plants,2,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Science,Chapter 3 Reproduction in Animals,3,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Science,Chapter 4 Adaptations in Animals,4,1
CBSE,Class 4,Semester Books,Bloomsbury,Semester 1 : Science,Chapter 5 Food: Our Basic Need,5,1
