ID,Type,Variant,Physical price,Discount Physical Price,Ebook Price,Ebook Discount Price
3,book,,325,292.5,325,162.5
5,book,,100,90,100,50
6,book,,345,310.5,345,172.5
7,book,,375,337.5,375,187.5
8,book,,395,355.5,395,197.5
9,book,,400,360,400,200
10,book,,420,378,420,210
11,book,,485,436.5,485,242.5
12,book,,500,450,500,250
13,book,,390,351,390,195
14,book,,400,360,400,200
15,book,,450,405,450,225
16,book,,450,405,450,225
17,book,,460,414,460,230
18,book,,485,436.5,485,242.5
19,book,,500,450,500,250
20,book,,510,459,510,255
21,book,,325,292.5,325,162.5
22,book,,325,292.5,325,162.5
23,book,,325,292.5,325,162.5
24,book,,345,310.5,345,172.5
25,book,,355,319.5,355,177.5
26,book,,365,328.5,365,182.5
27,book,,345,310.5,345,172.5
28,book,,345,310.5,345,172.5
29,book,,355,319.5,355,177.5
30,book,,360,324,360,180
31,book,,375,337.5,375,187.5
32,book,,315,283.5,315,157.5
33,book,,385,346.5,385,192.5
34,book,,415,373.5,415,207.5
35,book,,380,342,380,190
36,book,,310,279,310,155
37,book,,325,292.5,325,162.5
38,book,,375,337.5,375,187.5
39,book,,380,342,380,190
40,book,,385,346.5,385,192.5
41,book,,185,166.5,185,92.5
42,book,,215,193.5,215,107.5
43,book,,235,211.5,235,117.5
44,book,,245,220.5,245,122.5
45,book,,245,220.5,245,122.5
46,book,,270,243,270,135
47,book,,275,247.5,275,137.5
48,book,,285,256.5,285,142.5
49,book,,295,265.5,295,147.5
50,book,,305,274.5,305,152.5
51,book,,325,292.5,325,162.5
52,book,,340,306,340,170
53,book,,355,319.5,355,177.5
54,book,,370,333,370,185
55,book,,380,342,380,190
56,book,,390,351,390,195
57,book,,150,135,150,75
58,book,,170,153,170,85
59,book,,185,166.5,185,92.5
60,book,,190,171,190,95
61,book,,195,175.5,195,97.5
62,book,,190,171,190,95
63,book,,190,171,190,95
64,book,,200,180,200,100
65,book,,117,105.3,117,58.5
66,book,,142,127.8,142,71
67,book,,215,193.5,215,107.5
68,book,,228,205.2,228,114
69,book,,240,216,240,120
70,book,,275,247.5,275,137.5
71,book,,280,252,280,140
72,book,,290,261,290,145
73,book,,315,283.5,315,157.5
74,book,,329,296.1,329,164.5
75,book,,345,310.5,345,172.5
76,book,,355,319.5,355,177.5
77,book,,355,319.5,355,177.5
78,book,,355,319.5,355,177.5
79,book,,360,324,360,180
80,book,,363,326.7,363,181.5
81,book,,310,279,310,155
82,book,,320,288,320,160
83,book,,355,319.5,355,177.5
84,book,,380,342,380,190
85,book,,395,355.5,395,197.5
86,book,,315,283.5,315,157.5
87,book,,320,288,320,160
88,book,,345,310.5,345,172.5
89,book,,355,319.5,355,177.5
90,book,,365,328.5,365,182.5
91,book,,405,364.5,405,202.5
92,book,,415,373.5,415,207.5
93,book,,425,382.5,425,212.5
94,book,,460,414,460,230
95,book,,470,423,470,235
96,book,,479,431.1,479,239.5
97,book,,258,232.2,258,129
98,book,,280,252,280,140
99,book,,330,297,330,165
100,book,,355,319.5,355,177.5
101,book,,395,355.5,395,197.5
102,book,,135,121.5,135,67.5
103,book,,143,128.7,143,71.5
104,book,,174,156.6,174,87
105,book,,180,162,180,90
106,book,,190,171,190,95
107,book,,200,180,200,100
108,book,,200,180,200,100
109,book,,200,180,200,100
110,book,,260,234,260,130
111,book,,270,243,270,135
112,book,,280,252,280,140
113,book,,280,252,280,140
114,book,,285,256.5,285,142.5
115,book,,300,270,300,150
116,book,,310,279,310,155
117,book,,320,288,320,160
118,book,,240,216,240,120
119,book,,240,216,240,120
120,book,,240,216,240,120
121,book,,260,234,260,130
122,book,,260,234,260,130
123,book,,275,247.5,275,137.5
124,book,,275,247.5,275,137.5
125,book,,275,247.5,275,137.5
126,book,,200,180,200,100
127,book,,220,198,220,110
128,book,,230,207,230,115
129,book,,250,225,250,125
130,book,,270,243,270,135
131,book,,290,261,290,145
132,book,,290,261,290,145
133,book,,300,270,300,150
134,book,,170,153,170,85
135,book,,185,166.5,185,92.5
136,book,,220,198,220,110
137,book,,240,216,240,120
138,book,,240,216,240,120
139,book,,275,247.5,275,137.5
140,book,,290,261,290,145
141,book,,305,274.5,305,152.5
142,book,,200,180,200,100
143,book,,220,198,220,110
144,book,,260,234,260,130
145,book,,270,243,270,135
146,book,,280,252,280,140
147,book,,295,265.5,295,147.5
148,book,,310,279,310,155
149,book,,310,279,310,155
150,book,,70,63,70,35
151,book,,105,94.5,105,52.5
152,book,,125,112.5,125,62.5
153,book,,130,117,130,65
154,book,,140,126,140,70
155,book,,140,126,140,70
156,book,,150,135,150,75
157,book,,155,139.5,155,77.5
158,book,,215,193.5,215,107.5
159,book,,235,211.5,235,117.5
160,book,,290,261,290,145
162,book,,335,301.5,335,167.5
163,book,,370,333,370,185
164,book,,395,355.5,395,197.5
165,book,,395,355.5,395,197.5
166,book,,75,67.5,75,37.5
167,book,,75,67.5,75,37.5
168,book,,80,72,80,40
169,book,,85,76.5,85,42.5
170,book,,85,76.5,85,42.5
171,book,,95,85.5,95,47.5
172,book,,95,85.5,95,47.5
173,book,,95,85.5,95,47.5
174,book,,165,148.5,165,82.5
175,book,,190,171,190,95
176,book,,260,234,260,130
177,book,,265,238.5,265,132.5
178,book,,285,256.5,285,142.5
179,book,,300,270,300,150
180,book,,315,283.5,315,157.5
181,book,,315,283.5,315,157.5
182,book,,320,288,320,160
183,book,,340,306,340,170
184,book,,360,324,360,180
185,book,,360,324,360,180
186,book,,380,342,380,190
187,book,,315,283.5,315,157.5
188,book,,350,315,350,175
189,book,,365,328.5,365,182.5
190,book,,370,333,370,185
191,book,,370,333,370,185
192,book,,390,351,390,195
193,book,,390,351,390,195
194,book,,390,351,390,195
195,book,,185,166.5,185,92.5
196,book,,205,184.5,205,102.5
197,book,,250,225,250,125
198,book,,260,234,260,130
199,book,,270,243,270,135
200,book,,295,265.5,295,147.5
201,book,,300,270,300,150
202,book,,300,270,300,150
203,book,,205,184.5,205,102.5
204,book,,205,184.5,205,102.5
205,book,,220,198,220,110
206,book,,240,216,240,120
207,book,,260,234,260,130
208,book,,275,247.5,275,137.5
209,book,,285,256.5,285,142.5
210,book,,310,279,310,155
211,book,,320,288,320,160
212,book,,335,301.5,335,167.5
213,book,,175,157.5,175,87.5
214,book,,190,171,190,95
215,book,,230,207,230,115
216,book,,250,225,250,125
217,book,,265,238.5,265,132.5
218,book,,305,274.5,305,152.5
219,book,,325,292.5,325,162.5
220,book,,335,301.5,335,167.5
221,book,,210,189,210,105
222,book,,230,207,230,115
223,book,,290,261,290,145
224,book,,290,261,290,145
225,book,,290,261,290,145
226,book,,335,301.5,335,167.5
227,book,,335,301.5,335,167.5
228,book,,335,301.5,335,167.5
229,book,,265,238.5,265,132.5
230,book,,285,256.5,285,142.5
231,book,,295,265.5,295,147.5
232,book,,200,180,200,100
233,book,,225,202.5,225,112.5
234,book,,240,216,240,120
235,book,,250,225,250,125
236,book,,260,234,260,130
237,book,,270,243,270,135
238,book,,285,256.5,285,142.5
239,book,,295,265.5,295,147.5
240,book,,310,279,310,155
241,book,,315,283.5,315,157.5
242,book,,335,301.5,335,167.5
243,book,,250,225,250,125
244,book,,275,247.5,275,137.5
245,book,,305,274.5,305,152.5
246,book,,315,283.5,315,157.5
247,book,,325,292.5,325,162.5
248,book,,420,378,420,210
249,book,,435,391.5,435,217.5
250,book,,455,409.5,455,227.5
251,book,,290,261,290,145
252,book,,350,315,350,175
253,book,,350,315,350,175
254,book,,350,315,350,175
255,book,,270,243,270,135
256,book,,280,252,280,140
257,book,,325,292.5,325,162.5
258,book,,325,292.5,325,162.5
259,book,,325,292.5,325,162.5
260,book,,325,292.5,325,162.5
261,book,,325,292.5,325,162.5
262,book,,325,292.5,325,162.5
263,book,,130,117,130,65
264,book,,135,121.5,135,67.5
265,book,,135,121.5,135,67.5
266,book,,140,126,140,70
267,book,,150,135,150,75
268,book,,180,162,180,90
269,book,,185,166.5,185,92.5
270,book,,185,166.5,185,92.5
271,book,,90,81,90,45
272,book,,105,94.5,105,52.5
273,book,,110,99,110,55
274,book,,125,112.5,125,62.5
275,book,,130,117,130,65
276,book,,140,126,140,70
277,book,,145,130.5,145,72.5
278,book,,160,144,160,80
279,book,,375,337.5,375,187.5
280,book,,425,382.5,425,212.5
281,book,,270,243,270,135
282,book,,390,351,390,195
283,book,,350,315,350,175
284,book,,380,342,380,190
285,book,,140,126,140,70
286,book,,150,135,150,75
287,book,,195,175.5,195,97.5
288,book,,350,315,350,175
