Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Position,Status
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : English,Chapter 1 People Around Us,1,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : English,Chapter 2 Seasons,2,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : English,"Chapter 3 Am, is , Are",3,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : English,Chapter 4 Action Words,4,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : English,"Chapter 5 The Long Vovels a,e,i,o,u",5,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : English,Chapter 6 Double Vowels,6,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 1 Numbers from 31 to 40,1,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 2 Numbers from 1 to 40,2,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 3 Numbers from 1 to 50,3,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 4 Numbers from 1 to 60,4,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 5 Numbers from 1 to 70,5,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 6 Numbers from 1 to 80,6,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 7 Numbers from 1 to 90,7,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Mathematics,Chapter 8 Numbers from 1 to 100,8,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 1 My School,1,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 2 People Who Help Us,2,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 3 Seasons,3,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 4 Things in the Sky,4,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 5 A Day,5,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 6 Playing is Fun,6,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 7 Natural Things,1,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 8 Living and Non-Living,2,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 9 Our Festivals,3,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,"Chapter 10 We, the People of India",4,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 11 Our National Symbols,5,1
CBSE,LKG,Semester Books,Bloomsbury,Semester 2 : Environmental Studies,Chapter 12 My Computer,6,1
