ID,Type,Variant,Physical price,Discount Physical Price,Ebook Price,Ebook Discount Price
527,book,,1995,1796,1557,1168
528,book,,2095,1886,1048,786
529,book,,2145,1931,1073,805
614,book,,170,153,85,64
612,book,,170,153,85,64
615,book,,185,167,93,70
611,book,,180,162,90,68
617,book,,155,140,78,59
619,book,,155,140,78,59
621,book,,160,144,80,60
623,book,,160,144,80,60
625,book,,165,149,83,63
613,book,,185,167,93,70
616,book,,185,167,93,70
618,book,,195,176,98,74
620,book,,195,176,98,74
622,book,,195,176,98,74
624,book,,195,176,98,74
41,book,,235,212,118,89
42,book,,265,239,133,100
43,book,,295,266,148,111
44,book,,315,284,158,119
45,book,,315,284,158,119
46,book,,354,319,177,133
47,book,,375,338,188,141
48,book,,385,347,193,145
446,book,,320,288,160,120
447,book,,350,315,175,132
963,book,,445,401,223,168
232,book,,245,221,123,93
233,book,,270,243,135,102
234,book,,290,261,145,109
235,book,,305,275,153,115
236,book,,315,284,158,119
237,book,,335,302,168,126
238,book,,350,315,175,132
239,book,,360,324,180,135
205,book,,250,225,125,94
206,book,,275,248,138,104
207,book,,295,266,148,111
208,book,,315,284,158,119
209,book,,325,293,163,123
210,book,,355,320,178,134
211,book,,365,329,183,138
212,book,,380,342,190,143
782,book,,250,225,125,94
783,book,,270,243,135,102
182,book,,355,320,178,134
183,book,,375,338,188,141
184,book,,395,356,198,149
185,book,,400,360,200,150
186,book,,420,378,210,158
834,book,,170,153,85,64
835,book,,170,153,85,64
836,book,,180,162,90,68
837,book,,180,162,90,68
838,book,,195,176,98,74
326,book,,330,297,165,124
327,book,,340,306,170,128
328,book,,350,315,175,132
329,book,,360,324,180,135
330,book,,360,324,180,135
331,book,,385,347,193,145
332,book,,390,351,195,147
333,book,,395,356,198,149
118,book,,275,248,138,104
119,book,,275,248,138,104
120,book,,275,248,138,104
121,book,,300,270,150,113
122,book,,300,270,150,113
123,book,,325,293,163,123
124,book,,325,293,163,123
125,book,,325,293,163,123
626,book,,160,144,80,60
627,book,,200,180,100,75
628,book,,155,140,78,59
629,book,,155,140,78,59
630,book,,155,140,78,59
663,book,,295,266,148,111
73,book,,370,333,185,139
74,book,,385,347,193,145
75,book,,405,365,203,153
76,book,,420,378,210,158
77,book,,420,378,210,158
78,book,,430,387,215,162
79,book,,435,392,218,164
80,book,,435,392,218,164
692,book,,210,189,105,79
110,book,,315,284,158,119
111,book,,325,293,163,123
112,book,,340,306,170,128
113,book,,345,311,173,130
114,book,,350,315,175,132
115,book,,375,338,188,141
116,book,,385,347,193,145
117,book,,395,356,198,149
667,book,,305,275,153,115
307,book,,215,194,108,81
308,book,,220,198,110,83
309,book,,235,212,118,89
310,book,,245,221,123,93
311,book,,250,225,125,94
312,book,,255,230,128,96
313,book,,255,230,128,96
314,book,,255,230,128,96
187,book,,345,311,173,130
188,book,,380,342,190,143
189,book,,395,356,198,149
190,book,,400,360,200,150
191,book,,400,360,200,150
192,book,,440,396,220,165
193,book,,440,396,220,165
194,book,,440,396,220,165
315,book,,180,162,90,68
316,book,,195,176,98,74
317,book,,210,189,105,79
318,book,,210,189,105,79
319,book,,210,189,105,79
320,book,,225,203,113,85
321,book,,230,207,115,87
322,book,,235,212,118,89
965,book,,210,189,105,79
966,book,,225,203,113,85
971,book,,375,338,188,141
972,book,,385,347,193,145
766,book,,335,302,168,126
767,book,,355,320,178,134
768,book,,385,347,193,145
359,book,,140,126,70,53
360,book,,140,126,70,53
361,book,,145,131,73,55
362,book,,145,131,73,55
363,book,,160,144,80,60
364,book,,185,167,93,70
365,book,,210,189,105,79
366,book,,210,189,105,79
400,book,,214,193,107,81
401,book,,234,211,117,88
402,book,,274,247,137,103
403,book,,285,257,143,108
404,book,,290,261,145,109
405,book,,320,288,160,120
406,book,,325,293,163,123
407,book,,325,293,163,123
299,book,,240,216,120,90
300,book,,245,221,123,93
301,book,,250,225,125,94
302,book,,260,234,130,98
303,book,,270,243,135,102
304,book,,280,252,140,105
305,book,,285,257,143,108
306,book,,295,266,148,111
263,book,,190,171,95,72
264,book,,195,176,98,74
265,book,,195,176,98,74
266,book,,215,194,108,81
267,book,,225,203,113,85
268,book,,245,221,123,93
269,book,,250,225,125,94
270,book,,250,225,125,94
370,book,,150,135,75,57
373,book,,155,140,78,59
375,book,,155,140,78,59
376,book,,160,144,80,60
377,book,,165,149,83,63
251,book,,360,324,180,135
252,book,,425,383,213,160
253,book,,425,383,213,160
254,book,,425,383,213,160
631,book,,180,162,90,68
632,book,,195,176,98,74
633,book,,195,176,98,74
634,book,,195,176,98,74
635,book,,195,176,98,74
742,book,,220,198,110,83
743,book,,240,216,120,90
86,book,,380,342,190,143
87,book,,385,347,193,145
88,book,,415,374,208,156
