Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,Question,Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes,Skills,Tags,"Status(1==active,0=Inactive)"
CBSE Board,Class 2,ENGLISH,GRAMMAR SUCCESS WITH COMPOSITION 2,PROPER NOUNS,,,Fill in the Blanks,I have a pet _________________________.,N/A,,,,,,Other,EASY,Test Learning Outcome 1,Skillone,CBSE Class2  English Stepping Stones Course Book 2 fill in the blanks 1,1
CBSE Board,Class 2,ENGLISH,GRAMMAR SUCCESS WITH COMPOSITION 2,PROPER NOUNS,,,Fill in the Blanks,It is _________________________ in colour.,N/A,,,,,,Other,EASY,Test Learning Outcome 1,Skillone,CBSE Class2  English Stepping Stones Course Book 2 fill in the blanks 2,1
CBSE Board,Class 2,ENGLISH,GRAMMAR SUCCESS WITH COMPOSITION 2,PROPER NOUNS,,,Fill in the Blanks,My pet is a part of my _______________________.,N/A,,,,,,Other,EASY,Test Learning Outcome 1,Skillone,CBSE Class2  English Stepping Stones Course Book 2 fill in the blanks 3,1
CBSE Board,Class 2,ENGLISH,GRAMMAR SUCCESS WITH COMPOSITION 2,PROPER NOUNS,,,Fill in the Blanks,My sister and I like to _______________________ with it.,N/A,,,,,,Other,EASY,Test Learning Outcome 1,Skillone,CBSE Class2  English Stepping Stones Course Book 2 fill in the blanks 4,1
CBSE Board,Class 2,ENGLISH,GRAMMAR SUCCESS WITH COMPOSITION 2,PROPER NOUNS,,,Fill in the Blanks,We look after it _________________________.,N/A,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
