ID,Type,Variant,Physical Price,Physical Discount Price,Ebook Price,Ebook Discount Price
3,book,,325,293,325,244
5,book,,100,90,100,75
6,book,,345,311,345,259
7,book,,375,338,375,282
8,book,,395,356,395,297
9,book,,400,360,400,300
10,book,,420,378,420,315
11,book,,485,437,485,364
12,book,,500,450,500,375
13,book,,390,351,390,293
14,book,,400,360,400,300
15,book,,450,405,450,338
16,book,,450,405,450,338
17,book,,460,414,460,345
18,book,,485,437,485,364
19,book,,500,450,500,375
20,book,,510,459,510,383
21,book,,325,293,325,244
22,book,,325,293,325,244
23,book,,325,293,325,244
24,book,,345,311,345,259
25,book,,355,320,355,267
26,book,,365,329,365,274
27,book,,345,311,345,259
28,book,,345,311,345,259
29,book,,355,320,355,267
30,book,,420,378,420,315
31,book,,435,392,435,327
32,book,,375,338,375,282
33,book,,445,401,445,334
34,book,,475,428,475,357
35,book,,440,396,440,330
36,book,,310,279,310,233
37,book,,325,293,325,244
38,book,,375,338,375,282
39,book,,380,342,380,285
40,book,,385,347,385,289
41,book,,235,212,235,177
42,book,,265,239,265,199
43,book,,295,266,295,222
44,book,,315,284,315,237
45,book,,315,284,315,237
46,book,,354,319,354,266
47,book,,375,338,375,282
48,book,,385,347,385,289
49,book,,295,266,295,222
50,book,,305,275,305,229
51,book,,325,293,325,244
52,book,,340,306,340,255
53,book,,355,320,355,267
54,book,,370,333,370,278
55,book,,380,342,380,285
56,book,,390,351,390,293
57,book,,195,176,195,147
58,book,,220,198,220,165
59,book,,235,212,235,177
60,book,,240,216,240,180
61,book,,250,225,250,188
62,book,,250,225,250,188
63,book,,250,225,250,188
64,book,,260,234,260,195
65,book,,117,106,117,88
66,book,,142,128,142,107
67,book,,215,194,215,162
68,book,,228,206,228,171
69,book,,240,216,240,180
70,book,,275,248,275,207
71,book,,280,252,280,210
72,book,,290,261,290,218
73,book,,370,333,370,278
74,book,,385,347,385,289
75,book,,405,365,405,304
76,book,,420,378,420,315
77,book,,420,378,420,315
78,book,,430,387,430,323
79,book,,435,392,435,327
80,book,,435,392,435,327
81,book,,310,279,310,233
82,book,,320,288,320,240
83,book,,355,320,355,267
84,book,,380,342,380,285
85,book,,395,356,395,297
86,book,,380,342,380,285
87,book,,385,347,385,289
88,book,,415,374,415,312
89,book,,435,392,435,327
90,book,,445,401,445,334
91,book,,475,428,475,357
92,book,,485,437,485,364
93,book,,495,446,495,372
94,book,,460,414,460,345
95,book,,470,423,470,353
96,book,,479,432,479,360
97,book,,290,261,290,218
98,book,,330,297,330,248
99,book,,390,351,390,293
100,book,,410,369,410,308
101,book,,430,387,430,323
102,book,,175,158,175,132
103,book,,185,167,185,139
104,book,,230,207,230,173
105,book,,240,216,240,180
106,book,,250,225,250,188
107,book,,260,234,260,195
108,book,,265,239,265,199
109,book,,265,239,265,199
110,book,,315,284,315,237
111,book,,325,293,325,244
112,book,,340,306,340,255
113,book,,345,311,345,259
114,book,,350,315,350,263
115,book,,375,338,375,282
116,book,,385,347,385,289
117,book,,395,356,395,297
118,book,,275,248,275,207
119,book,,275,248,275,207
120,book,,275,248,275,207
121,book,,300,270,300,225
122,book,,300,270,300,225
123,book,,325,293,325,244
124,book,,325,293,325,244
125,book,,325,293,325,244
126,book,,225,203,225,169
127,book,,250,225,250,188
128,book,,260,234,260,195
129,book,,275,248,275,207
130,book,,310,279,310,233
131,book,,320,288,320,240
132,book,,320,288,320,240
133,book,,330,297,330,248
134,book,,195,176,195,147
135,book,,210,189,210,158
136,book,,260,234,260,195
137,book,,280,252,280,210
138,book,,280,252,280,210
139,book,,335,302,335,252
140,book,,350,315,350,263
141,book,,365,329,365,274
142,book,,200,180,200,150
143,book,,220,198,220,165
144,book,,260,234,260,195
145,book,,270,243,270,203
146,book,,280,252,280,210
147,book,,295,266,295,222
148,book,,310,279,310,233
149,book,,310,279,310,233
150,book,,115,104,115,87
151,book,,150,135,150,113
152,book,,190,171,190,143
153,book,,195,176,195,147
154,book,,205,185,205,154
155,book,,220,198,220,165
156,book,,230,207,230,173
157,book,,235,212,235,177
158,book,,270,243,270,203
159,book,,290,261,290,218
160,book,,365,329,365,274
162,book,,410,369,410,308
163,book,,470,423,470,353
164,book,,495,446,495,372
165,book,,495,446,495,372
166,book,,115,104,115,87
167,book,,115,104,115,87
168,book,,130,117,130,98
169,book,,135,122,135,102
170,book,,140,126,140,105
171,book,,155,140,155,117
172,book,,155,140,155,117
173,book,,155,140,155,117
174,book,,220,198,220,165
175,book,,245,221,245,184
176,book,,335,302,335,252
177,book,,335,302,335,252
178,book,,360,324,360,270
179,book,,400,360,400,300
180,book,,415,374,415,312
181,book,,415,374,415,312
182,book,,355,320,355,267
183,book,,375,338,375,282
184,book,,395,356,395,297
185,book,,400,360,400,300
186,book,,420,378,420,315
187,book,,345,311,345,259
188,book,,380,342,380,285
189,book,,395,356,395,297
190,book,,400,360,400,300
191,book,,400,360,400,300
192,book,,440,396,440,330
193,book,,440,396,440,330
194,book,,440,396,440,330
195,book,,185,167,185,139
196,book,,205,185,205,154
197,book,,250,225,250,188
198,book,,260,234,260,195
199,book,,270,243,270,203
200,book,,295,266,295,222
201,book,,300,270,300,225
202,book,,300,270,300,225
203,book,,205,185,205,154
204,book,,205,185,205,154
205,book,,250,225,250,188
206,book,,275,248,275,207
207,book,,295,266,295,222
208,book,,315,284,315,237
209,book,,325,293,325,244
210,book,,355,320,355,267
211,book,,365,329,365,274
212,book,,380,342,380,285
213,book,,175,158,175,132
214,book,,190,171,190,143
215,book,,230,207,230,173
216,book,,250,225,250,188
217,book,,265,239,265,199
218,book,,355,320,355,267
219,book,,325,293,325,244
220,book,,385,347,385,289
221,book,,265,239,265,199
222,book,,285,257,285,214
223,book,,365,329,365,274
224,book,,365,329,365,274
225,book,,365,329,365,274
226,book,,430,387,430,323
227,book,,430,387,430,323
228,book,,430,387,430,323
229,book,,265,239,265,199
230,book,,285,257,285,214
231,book,,295,266,295,222
232,book,,245,221,245,184
233,book,,270,243,270,203
234,book,,290,261,290,218
235,book,,305,275,305,229
236,book,,315,284,315,237
237,book,,335,302,335,252
238,book,,350,315,350,263
239,book,,360,324,360,270
240,book,,310,279,310,233
241,book,,410,369,410,308
242,book,,335,302,335,252
243,book,,250,225,250,188
244,book,,275,248,275,207
245,book,,305,275,305,229
246,book,,315,284,315,237
247,book,,325,293,325,244
248,book,,420,378,420,315
249,book,,435,392,435,327
250,book,,455,410,455,342
251,book,,360,324,360,270
252,book,,425,383,425,319
253,book,,425,383,425,319
254,book,,425,383,425,319
255,book,,325,293,325,244
256,book,,335,302,335,252
257,book,,325,293,325,244
258,book,,325,293,325,244
259,book,,325,293,325,244
260,book,,325,293,325,244
261,book,,325,293,325,244
262,book,,325,293,325,244
263,book,,190,171,190,143
264,book,,195,176,195,147
265,book,,195,176,195,147
266,book,,215,194,215,162
267,book,,225,203,225,169
268,book,,245,221,245,184
269,book,,250,225,250,188
270,book,,250,225,250,188
271,book,,90,81,90,68
272,book,,105,95,105,79
273,book,,110,99,110,83
274,book,,125,113,125,94
275,book,,130,117,130,98
276,book,,140,126,140,105
277,book,,145,131,145,109
278,book,,160,144,160,120
279,book,,455,410,455,342
280,book,,425,383,425,319
281,book,,345,311,345,259
282,book,,390,351,390,293
283,book,,425,383,425,319
284,book,,380,342,380,285
285,book,,170,153,170,128
286,book,,185,167,185,139
287,book,,240,216,240,180
288,book,,415,374,415,312
289,book,,495,446,495,372
290,book,,450,405,450,338
291,book,,310,279,310,233
292,book,,215,194,215,162
293,book,,225,203,225,169
294,book,,234,211,234,176
295,book,,540,486,540,405
296,book,,590,531,590,443
297,book,,340,306,340,255
298,book,,340,306,340,255
299,book,,240,216,240,180
300,book,,245,221,245,184
301,book,,250,225,250,188
302,book,,260,234,260,195
303,book,,270,243,270,203
304,book,,280,252,280,210
305,book,,285,257,285,214
306,book,,295,266,295,222
307,book,,215,194,215,162
308,book,,220,198,220,165
309,book,,235,212,235,177
310,book,,245,221,245,184
311,book,,250,225,250,188
312,book,,255,230,255,192
313,book,,255,230,255,192
314,book,,255,230,255,192
315,book,,180,162,180,135
316,book,,195,176,195,147
317,book,,210,189,210,158
318,book,,210,189,210,158
319,book,,210,189,210,158
320,book,,225,203,225,169
321,book,,230,207,230,173
322,book,,235,212,235,177
323,book,,305,275,305,229
324,book,,325,293,325,244
325,book,,334,301,334,251
326,book,,330,297,330,248
327,book,,340,306,340,255
328,book,,350,315,350,263
329,book,,360,324,360,270
330,book,,360,324,360,270
331,book,,385,347,385,289
332,book,,390,351,390,293
333,book,,395,356,395,297
334,book,,220,198,220,165
335,book,,230,207,230,173
336,book,,255,230,255,192
337,book,,260,234,260,195
338,book,,265,239,265,199
339,book,,305,275,305,229
340,book,,310,279,310,233
341,book,,310,279,310,233
342,book,,445,401,445,334
343,book,,475,428,475,357
344,book,,500,450,500,375
345,book,,139,126,139,105
346,book,,139,126,139,105
347,book,,195,176,195,147
348,book,,195,176,195,147
349,book,,195,176,195,147
350,book,,195,176,195,147
351,book,,205,185,205,154
352,book,,200,180,200,150
353,book,,118,107,118,89
354,book,,125,113,125,94
355,book,,125,113,125,94
356,book,,140,126,140,105
357,book,,155,140,155,117
358,book,,140,126,140,105
359,book,,140,126,140,105
360,book,,140,126,140,105
361,book,,145,131,145,109
362,book,,145,131,145,109
363,book,,160,144,160,120
364,book,,185,167,185,139
365,book,,210,189,210,158
366,book,,210,189,210,158
367,book,,155,140,155,117
368,book,,155,140,155,117
369,book,,160,144,160,120
370,book,,150,135,150,113
371,book,,135,122,135,102
372,book,,145,131,145,109
373,book,,155,140,155,117
374,book,,150,135,150,113
375,book,,155,140,155,117
376,book,,160,144,160,120
377,book,,165,149,165,124
378,book,,185,167,185,139
379,book,,195,176,195,147
380,book,,235,212,235,177
381,book,,205,185,205,154
382,book,,235,212,235,177
383,book,,174,157,174,131
384,book,,195,176,195,147
385,book,,220,198,220,165
386,book,,260,234,260,195
387,book,,260,234,260,195
388,book,,255,230,255,192
389,book,,270,243,270,203
390,book,,145,131,145,109
391,book,,330,297,330,248
392,book,,175,158,175,132
393,book,,180,162,180,135
394,book,,205,185,205,154
395,book,,205,185,205,154
396,book,,220,198,220,165
397,book,,270,243,270,203
398,book,,280,252,280,210
399,book,,289,261,289,217
400,book,,214,193,214,161
401,book,,234,211,234,176
402,book,,274,247,274,206
403,book,,285,257,285,214
404,book,,290,261,290,218
405,book,,320,288,320,240
406,book,,325,293,325,244
407,book,,325,293,325,244
408,book,,535,482,535,402
409,book,,395,356,395,297
410,book,,450,405,450,338
411,book,,540,486,540,405
412,book,,555,500,555,417
413,book,,555,500,555,417
414,book,,595,536,595,447
415,book,,125,113,125,94
416,book,,595,536,595,447
417,book,,133,120,133,100
418,book,,141,127,141,106
419,book,,640,576,640,480
420,book,,154,139,154,116
421,book,,640,576,640,480
422,book,,655,590,655,492
423,book,,170,153,170,128
424,book,,655,590,655,492
425,book,,275,248,275,207
426,book,,160,144,160,120
427,book,,280,252,280,210
428,book,,395,356,395,297
429,book,,300,270,300,225
430,book,,400,360,400,300
431,book,,400,360,400,300
432,book,,405,365,405,304
433,book,,415,374,415,312
434,book,,410,369,410,308
435,book,,430,387,430,323
436,book,,435,392,435,327
437,book,,430,387,430,323
438,book,,440,396,440,330
439,book,,445,401,445,334
440,book,,435,392,435,327
441,book,,505,455,505,379
442,book,,450,405,450,338
443,book,,510,459,510,383
444,book,,455,410,455,342
445,book,,445,401,445,334
446,book,,320,288,320,240
447,book,,350,315,350,263
448,book,,130,117,130,98
449,book,,140,126,140,105
450,book,,200,180,200,150
451,book,,225,203,225,169
452,book,,265,239,265,199
453,book,,285,257,285,214
454,book,,295,266,295,222
455,book,,250,225,250,188
457,book,,260,234,260,195
458,book,,260,234,260,195
459,book,,245,221,245,184
460,book,,260,234,260,195
461,book,,280,252,280,210
462,book,,290,261,290,218
463,book,,285,257,285,214
464,book,,340,306,340,255
465,book,,345,311,345,259
466,book,,190,171,190,143
467,book,,205,185,205,154
468,book,,225,203,225,169
469,book,,235,212,235,177
470,book,,240,216,240,180
471,book,,305,275,305,229
472,book,,315,284,315,237
473,book,,375,338,375,282
474,book,,400,360,400,300
475,book,,225,203,225,169
476,book,,225,203,225,169
477,book,,305,275,305,229
478,book,,340,306,340,255
479,book,,268,242,268,201
480,book,,260,234,260,195
481,book,,292,263,292,219
482,book,,370,333,370,278
483,book,,390,351,390,293
484,book,,415,374,415,312
485,book,,455,410,455,342
486,book,,465,419,465,349
487,book,,485,437,485,364
488,book,,490,441,490,368
489,book,,495,446,495,372
490,book,,515,464,515,387
491,book,,340,306,340,255
492,book,,355,320,355,267
493,book,,380,342,380,285
494,book,,395,356,395,297
495,book,,395,356,395,297
496,book,,415,374,415,312
497,book,,420,378,420,315
498,book,,420,378,420,315
499,book,,345,311,345,259
500,book,,355,320,355,267
501,book,,365,329,365,274
502,book,,310,279,310,233
503,book,,165,149,165,124
504,book,,195,176,195,147
505,book,,205,185,205,154
506,book,,220,198,220,165
507,book,,280,252,280,210
508,book,,320,288,320,240
509,book,,205,185,205,154
510,book,,215,194,215,162
511,book,,265,239,265,199
512,book,,340,306,340,255
513,book,,360,324,360,270
514,book,,520,468,520,390
515,book,,285,257,285,214
516,book,,275,248,275,207
517,book,,299,270,299,225
518,book,,249,225,249,187
519,book,,269,243,269,202
520,book,,349,315,349,262
521,book,,299,270,299,225
522,book,,299,270,299,225
523,book,,299,270,299,225
524,book,,525,473,525,394
525,book,,575,518,575,432
526,book,,560,504,560,420
527,book,,1995,1796,1995,1497
528,book,,2095,1886,2095,1572
529,book,,2145,1931,2145,1609
531,book,,270,243,270,203
532,book,,300,270,300,225
533,book,,276,249,276,207
534,book,,320,288,320,240
535,book,,300,270,300,225
536,book,,330,297,330,248
537,book,,320,288,320,240
538,book,,270,243,270,203
539,book,,295,266,295,222
540,book,,295,266,295,222
541,book,,195,176,195,147
542,book,,195,176,195,147
543,book,,255,230,255,192
544,book,,285,257,285,214
545,book,,215,194,215,162
546,book,,399,360,399,300
547,book,,220,198,220,165
548,book,,240,216,240,180
549,book,,270,243,270,203
550,book,,280,252,280,210
551,book,,290,261,290,218
552,book,,315,284,315,237
553,book,,315,284,315,237
554,book,,315,284,315,237
555,book,,345,311,345,259
556,book,,350,315,350,263
557,book,,360,324,360,270
558,book,,385,347,385,289
559,book,,405,365,405,304
560,book,,425,383,425,319
561,book,,425,383,425,319
562,book,,425,383,425,319
563,book,,470,423,470,353
564,book,,470,423,470,353
565,book,,470,423,470,353
566,book,,215,194,215,162
567,book,,220,198,220,165
568,book,,220,198,220,165
569,book,,165,149,165,124
570,book,,170,153,170,128
571,book,,140,126,140,105
572,book,,155,140,155,117
573,book,,250,225,250,188
574,book,,320,288,320,240
575,book,,395,356,395,297
576,book,,465,419,465,349
577,book,,440,396,440,330
578,book,,405,365,405,304
579,book,,330,297,330,248
580,book,,350,315,350,263
581,book,,355,320,355,267
582,book,,390,351,390,293
583,book,,405,365,405,304
584,book,,405,365,405,304
585,book,,410,369,410,308
586,book,,410,369,410,308
587,book,,430,387,430,323
588,book,,430,387,430,323
589,book,,430,387,430,323
590,book,,175,158,175,132
591,book,,175,158,175,132
592,book,,175,158,175,132
593,book,,225,203,225,169
594,book,,235,212,235,177
595,book,,260,234,260,195
596,book,,260,234,260,195
597,book,,270,243,270,203
598,book,,310,279,310,233
599,book,,310,279,310,233
600,book,,310,279,310,233
601,book,,135,122,135,102
602,book,,135,122,135,102
603,book,,140,126,140,105
604,book,,144,130,144,108
605,book,,144,130,144,108
606,book,,158,143,158,119
607,book,,158,143,158,119
608,book,,158,143,158,119
609,book,,425,383,425,319
610,book,,430,387,430,323
611,book,,180,162,180,135
612,book,,170,153,170,128
613,book,,185,167,185,139
614,book,,170,153,170,128
615,book,,185,167,185,139
616,book,,185,167,185,139
617,book,,155,140,155,117
618,book,,195,176,195,147
619,book,,155,140,155,117
620,book,,195,176,195,147
621,book,,160,144,160,120
622,book,,195,176,195,147
623,book,,160,144,160,120
624,book,,195,176,195,147
625,book,,165,149,165,124
626,book,,160,144,160,120
627,book,,200,180,200,150
628,book,,155,140,155,117
629,book,,155,140,155,117
630,book,,155,140,155,117
631,book,,180,162,180,135
632,book,,195,176,195,147
633,book,,195,176,195,147
634,book,,195,176,195,147
635,book,,195,176,195,147
636,book,,220,198,220,165
637,book,,475,428,475,357
638,book,,355,320,355,267
639,book,,425,383,425,319
640,book,,245,221,245,184
