Board Name,Class Name,Subject Name,Series  Name,Chapter Number,Chapter Name,Status,Position
General/Competition,Others,Financial Education,Financial Education Course Level 1,1,Chapter 1: Barter System,1,1
General/Competition,Others,Financial Education,Financial Education Course Level 1,2,Chapter 2: Evolution of Money,1,2
General/Competition,Others,Financial Education,Financial Education Course Level 1,3,Chapter 3: Needs and Wants,1,3
General/Competition,Others,Financial Education,Financial Education Course Level 1,4,"Chapter 4: Bill, Cash Memo",1,4
General/Competition,Others,Financial Education,Financial Education Course Level 1,5,Chapter 5: Trade,1,5
General/Competition,Others,Financial Education,Financial Education Course Level 1,6,Chapter 6: Benefits of Trades,1,6
General/Competition,Others,Financial Education,Financial Education Course Level 1,7,Chapter 7: Manish and the Crow,1,7
General/Competition,Others,Financial Education,Financial Education Course Level 1,8,Chapter 8: The lost Coin,1,8
General/Competition,Others,Financial Education,Financial Education Course Level 1,9,Chapter 9: Taxation,1,9
General/Competition,Others,Financial Education,Financial Education Course Level 1,10,Chapter 10: Nurturing the money plants,1,10
