Board Name,Class Name,Subject Name,Series Name,Chapter Number,Chapter Name,Status,Position
CBSE,Class 10,Economics,NCQRT Economics,1,Chapter 01: Development ,1,1
CBSE,Class 10,Economics,NCQRT Economics,2,Chapter 02: Sectors of the Indian Economy ,1,2
CBSE,Class 10,Economics,NCQRT Economics,3,Chapter 03: Money and Credit ,1,3
CBSE,Class 10,Economics,NCQRT Economics,4,Chapter 04: Globalization and Indian Economy ,1,4
CBSE,Class 10,Economics,NCQRT Economics,5,Chapter 05: Consumer Rights ,1,5
CBSE,Class 10,History,NCQRT History,1,Chapter 1. The Rise of Nationalism in Europe ,1,1
CBSE,Class 10,History,NCQRT History,2,Chapter 2. Nationalism In India ,1,2
CBSE,Class 10,History,NCQRT History,3,Chapter 3. The Making of a Global World ,1,3
CBSE,Class 10,History,NCQRT History,4,Chapter 4. The Age of Industrialisation ,1,4
CBSE,Class 10,History,NCQRT History,5,Chapter 5. Print Culture and the Modern World ,1,5
CBSE,Class 10,Political Science,NCQRT Political Science,1,Chapter 01: Power Sharing ,1,1
CBSE,Class 10,Political Science,NCQRT Political Science,2,Chapter 02: Federalism ,1,2
CBSE,Class 10,Political Science,NCQRT Political Science,3,"Chapter 03: Gender, Religion and Caste ",1,3
CBSE,Class 10,Political Science,NCQRT Political Science,4,Chapter 04: Political Parties ,1,4
CBSE,Class 10,Political Science,NCQRT Political Science,5,Chapter 05: Outcomes of Democracy ,1,5
CBSE,Class 10,Mathematics,NCQRT Mathematics,1,Chapter 1: Real Numbers ,1,1
CBSE,Class 10,Mathematics,NCQRT Mathematics,2,Chapter 2: Polynomials ,1,2
CBSE,Class 10,Mathematics,NCQRT Mathematics,3,Chapter 3 Pair of Linear Equations in Two Variables ,1,3
CBSE,Class 10,Mathematics,NCQRT Mathematics,4,Chapter 4 Quadratic Equations ,1,4
CBSE,Class 10,Mathematics,NCQRT Mathematics,5,Chapter 5 Arithmetic Progressions ,1,5
CBSE,Class 10,Mathematics,NCQRT Mathematics,6,Chapter 6 Triangles ,1,6
CBSE,Class 10,Mathematics,NCQRT Mathematics,7,Chapter 7 Coordinate Geometry ,1,7
CBSE,Class 10,Mathematics,NCQRT Mathematics,8,Chapter 8 Introduction to Trigonometry ,1,8
CBSE,Class 10,Mathematics,NCQRT Mathematics,9,Chapter 9 Some Applications of Trigonometry ,1,9
CBSE,Class 10,Mathematics,NCQRT Mathematics,10,Chapter 10 Circles ,1,10
CBSE,Class 10,Mathematics,NCQRT Mathematics,11,Chapter 11 Areas Related to Circles ,1,11
CBSE,Class 10,Mathematics,NCQRT Mathematics,12,Chapter 12. Surface Areas and Volumes ,1,12
CBSE,Class 10,Mathematics,NCQRT Mathematics,13,Chapter 13. Statistics ,1,13
CBSE,Class 10,Mathematics,NCQRT Mathematics,14,Chapter 14. Probability ,1,14
