Board Name,Class Name,Subject Name,Series Name,Chapter Number,Chapter Name,Status,Position
CBSE,Class 9,Economics,NCQRT Economics,1,Chapter 1. The Story of Village Palampur ,1,1
CBSE,Class 9,Economics,NCQRT Economics,2,Chapter 2. People As Resource ,1,2
CBSE,Class 9,Economics,NCQRT Economics,3,Chapter 3. Poverty As A Challenge ,1,3
CBSE,Class 9,Economics,NCQRT Economics,4,Chapter 4. Food Security in india ,1,4
CBSE,Class 9,History,NCQRT History,1,Chapter 1. The French Revolution ,1,1
CBSE,Class 9,History,NCQRT History,2,Chapter 2. Socialism in Europe And The Russian Revolution ,1,2
CBSE,Class 9,History,NCQRT History,3,Chapter 3. Nazism And The Rise of Hitler ,1,3
CBSE,Class 9,History,NCQRT History,4,Chapter 4. Forest Society And Colonialism ,1,4
CBSE,Class 9,History,NCQRT History,5,Chapter 5. Pastoralists in The Modern World ,1,5
CBSE,Class 9,Political Science,NCQRT Political Science,1,Chapter 01. What Is Democracy? Why Democracy? ,1,1
CBSE,Class 9,Political Science,NCQRT Political Science,2,Chapter 02. Constitutional Design ,1,2
CBSE,Class 9,Political Science,NCQRT Political Science,3,Chapter 03. Electoral Politics ,1,3
CBSE,Class 9,Political Science,NCQRT Political Science,4,Chapter 04. Working of institutions ,1,4
CBSE,Class 9,Political Science,NCQRT Political Science,5,Chapter 05. Democratic Rights ,1,5
CBSE,Class 9,Geography,NCQRT Geography,1,Chapter 1. india - Size And Location ,1,1
CBSE,Class 9,Geography,NCQRT Geography,2,Chapter 2. Physical Features of india ,1,2
CBSE,Class 9,Geography,NCQRT Geography,3,Chapter 3. Drainage ,1,3
CBSE,Class 9,Geography,NCQRT Geography,4,Chapter 4. Climate ,1,4
CBSE,Class 9,Geography,NCQRT Geography,5,Chapter 5. Natural Vegetation And Wild Life ,1,5
CBSE,Class 9,Geography,NCQRT Geography,6,Chapter 6. Population ,1,6
CBSE,Class 9,Mathematics,NCQRT Mathematics,1,Chapter 1 Number Systems ,1,1
CBSE,Class 9,Mathematics,NCQRT Mathematics,2,Chapter 2 Polynomials ,1,2
CBSE,Class 9,Mathematics,NCQRT Mathematics,3,Chapter 3 Coordinate Geometry ,1,3
CBSE,Class 9,Mathematics,NCQRT Mathematics,4,Chapter 4 Linear Equations in Two Variables ,1,4
CBSE,Class 9,Mathematics,NCQRT Mathematics,5,Chapter 5 introduction To Euclid’s Geometry ,1,5
CBSE,Class 9,Mathematics,NCQRT Mathematics,6,Chapter 6. Lines And Angles ,1,6
CBSE,Class 9,Mathematics,NCQRT Mathematics,7,Chapter 7. Triangles ,1,7
CBSE,Class 9,Mathematics,NCQRT Mathematics,8,Chapter 8. Quadrilaterals ,1,8
CBSE,Class 9,Mathematics,NCQRT Mathematics,9,Chapter 9. Circles ,1,9
CBSE,Class 9,Mathematics,NCQRT Mathematics,10,Chapter 10. Heron’s Formula ,1,10
CBSE,Class 9,Mathematics,NCQRT Mathematics,11,Chapter 11. Surface Areas And Volumes ,1,11
CBSE,Class 9,Mathematics,NCQRT Mathematics,12,Chapter 12. Statistics ,1,12
CBSE,Class 9,Science,NCQRT Science,1,Chapter 1. Matter in Our Surroundings ,1,1
CBSE,Class 9,Science,NCQRT Science,2,Chapter 2. Is Matter Around Us Pure ,1,2
CBSE,Class 9,Science,NCQRT Science,3,Chapter 3. Atoms And Molecules ,1,3
CBSE,Class 9,Science,NCQRT Science,4,Chapter 4. Structure of The Atom ,1,4
CBSE,Class 9,Science,NCQRT Science,5,Chapter 5.The Fundamental Unit of Life ,1,5
CBSE,Class 9,Science,NCQRT Science,6,Chapter 6 Tissues ,1,6
CBSE,Class 9,Science,NCQRT Science,7,Chapter 7. Motion ,1,7
CBSE,Class 9,Science,NCQRT Science,8,Chapter 8. Force And Laws of Motion ,1,8
CBSE,Class 9,Science,NCQRT Science,9,Chapter 9. Gravitation ,1,9
CBSE,Class 9,Science,NCQRT Science,10,Chapter 10. Work And Energy ,1,10
CBSE,Class 9,Science,NCQRT Science,11,Chapter 11. Sound ,1,11
CBSE,Class 9,Science,NCQRT Science,12,Chapter 12. Improvement in Food Resources ,1,12
,,,,,,,
