Board Name,Class Name,Subject Name,Series Name,Chapter Number,Chapter Name,Status,Position
CBSE,Class 10,Science,NCQRT Science,14,Sample Question Paper,1,14
CBSE,Class 10,Science,NCQRT Science,15,Model Test Paper 1,1,15
CBSE,Class 10,Science,NCQRT Science,16,Model Test Paper 2,1,16
CBSE,Class 10,Science,NCQRT Science,17,Model Test Paper 3,1,17
CBSE,Class 10,Mathematics,NCQRT Mathematics,15,Sample Question Paper (Basic),1,15
CBSE,Class 10,Mathematics,NCQRT Mathematics,16,Model Test Paper 1 (Basic),1,16
CBSE,Class 10,Mathematics,NCQRT Mathematics,17,Model Test Paper 2 (Basic),1,17
CBSE,Class 10,Mathematics,NCQRT Mathematics,18,Model Test Paper 3 (Basic),1,18
CBSE,Class 10,Mathematics,NCQRT Mathematics,19,Sample Question Paper (Standard),1,19
CBSE,Class 10,Mathematics,NCQRT Mathematics,20,Model Test Paper 1  (Standard),1,20
CBSE,Class 10,Mathematics,NCQRT Mathematics,21,Model Test Paper 2  (Standard),1,21
CBSE,Class 10,Mathematics,NCQRT Mathematics,22,Model Test Paper 3  (Standard),1,22
CBSE,Class 10,Political Science,NCQRT Political Science,6,Sample Question Paper,1,6
CBSE,Class 10,Political Science,NCQRT Political Science,7,Model Test Paper 1,1,7
CBSE,Class 10,Political Science,NCQRT Political Science,8,Model Test Paper 2,1,8
CBSE,Class 10,Political Science,NCQRT Political Science,9,Model Test Paper 3,1,9
CBSE,Class 10,History,NCQRT History,6,Sample Question Paper,1,6
CBSE,Class 10,History,NCQRT History,7,Model Test Paper 1,1,7
CBSE,Class 10,History,NCQRT History,8,Model Test Paper 2,1,8
CBSE,Class 10,History,NCQRT History,9,Model Test Paper 3,1,9
CBSE,Class 10,Economics,NCQRT Economics,6,Sample Question Paper,1,6
CBSE,Class 10,Economics,NCQRT Economics,7,Model Test Paper 1,1,7
CBSE,Class 10,Economics,NCQRT Economics,8,Model Test Paper 2,1,8
CBSE,Class 10,Economics,NCQRT Economics,9,Model Test Paper 3,1,9
CBSE,Class 10,Geography,NCQRT Geography,8,Sample Question Paper,1,8
CBSE,Class 10,Geography,NCQRT Geography,9,Model Test Paper 1,1,9
CBSE,Class 10,Geography,NCQRT Geography,10,Model Test Paper 2,1,10
CBSE,Class 10,Geography,NCQRT Geography,11,Model Test Paper 3,1,11
CBSE,Class 9,Science,NCQRT Science,13,Model Test Paper 1,1,13
CBSE,Class 9,Science,NCQRT Science,14,Model Test Paper 2,1,14
CBSE,Class 9,Science,NCQRT Science,15,Model Test Paper 3,1,15
CBSE,Class 9,Mathematics,NCQRT Mathematics,12,Model Test Paper 1,1,12
CBSE,Class 9,Mathematics,NCQRT Mathematics,13,Model Test Paper 2,1,13
CBSE,Class 9,Mathematics,NCQRT Mathematics,14,Model Test Paper 3,1,14
CBSE,Class 9,Political Science,NCQRT Political Science,6,Model Test Paper 1,1,6
CBSE,Class 9,Political Science,NCQRT Political Science,7,Model Test Paper 2,1,7
CBSE,Class 9,Political Science,NCQRT Political Science,8,Model Test Paper 3,1,8
CBSE,Class 9,History,NCQRT History,6,Model Test Paper 1,1,6
CBSE,Class 9,History,NCQRT History,7,Model Test Paper 2,1,7
CBSE,Class 9,History,NCQRT History,8,Model Test Paper 3,1,8
CBSE,Class 9,Economics,NCQRT Economics,5,Model Test Paper 1,1,5
CBSE,Class 9,Economics,NCQRT Economics,6,Model Test Paper 2,1,6
CBSE,Class 9,Economics,NCQRT Economics,7,Model Test Paper 3,1,7
CBSE,Class 9,Geography,NCQRT Geography,7,Model Test Paper 1,1,7
CBSE,Class 9,Geography,NCQRT Geography,8,Model Test Paper 2,1,8
CBSE,Class 9,Geography,NCQRT Geography,9,Model Test Paper 3,1,9
