Board Name,Class Name,Subject Name,Series Name,Chapter Number,Chapter Name,Status,Position
CBSE,Class 1,Computer Science,Fun with Linux,1,Always Be On Time,1,1
CBSE,Class 1,Computer Science,Fun with Linux,2,Be Kind To All,1,2
CBSE,Class 1,Computer Science,Fun with Linux,3,Be Truthful,1,3
CBSE,Class 1,Computer Science,Fun with Linux,4,Be Your Own Best Friend,1,4
CBSE,Class 1,Computer Science,Fun with Linux,5,Criticism & Praise,1,5
CBSE,Class 1,Computer Science,Fun with Linux,6,Determination & Resolve,1,6
CBSE,Class 1,Computer Science,Fun with Linux,7,Gratitude: The Best Atitude,1,7
CBSE,Class 1,Computer Science,Fun with Linux,8,Hygiene & Cleanliness,1,8
CBSE,Class 1,Computer Science,Fun with Linux,9,Our Motherland,1,9
CBSE,Class 1,Computer Science,Fun with Linux,10,Safety Comes First,1,10
CBSE,Class 1,English,Grammar Success with Composition,1,LETTERS OF THE ALPHABET,1,1
CBSE,Class 2,English,Grammar Success with Composition,1,PROPER NOUNS,1,1
CBSE,Class 2,English,Grammar Success with Composition,2,SOME MORE NOUNS,1,2
CBSE,Class 3,English,Grammar Success with Composition,1,PRONOUNS,1,1
CBSE,Class 3,English,Grammar Success with Composition,2,VERBS,1,2
CBSE,Class 4,English,Grammar Success with Composition,1,COLLECTIVE AND ABSTRACT NOUNS,1,1
CBSE,Class 4,English,Grammar Success with Composition,2,COUNTABLE NOUNS AND UNCOUNTABLE NOUNS,1,2
CBSE,Class 4,English,Grammar Success with Composition,3,NOUNS,1,3
CBSE,Class 4,English,Grammar Success with Composition,4,PROPER NOUNS,1,4
CBSE,Class 4,English,Grammar Success with Composition,5,SINGULAR AND PLURAL,1,5
CBSE,Class 5,English,Grammar Success with Composition,1,COUNTABLE AND UNCOUNTABLE NOUNS,1,1
CBSE,Class 5,English,Grammar Success with Composition,2,NOUNS,1,2
CBSE,Class 6,English,Grammar Success with Composition,1,COLLECTIVE AND ABSTRACT NOUNS,1,1
CBSE,Class 6,English,Grammar Success with Composition,2,NOUN : NUMBER,1,2
CBSE,Class 6,English,Grammar Success with Composition,3,REMEMBERING NOUNS,1,3
CBSE,Class 6,English,Grammar Success with Composition,4,VERBS,1,4
CBSE,Class 7,English,Grammar Success with Composition,1,ADJECTIVES,1,1
CBSE,Class 7,English,Grammar Success with Composition,2,COUNTABLE AND UNCOUNTABLE NOUNS,1,2
CBSE,Class 7,English,Grammar Success with Composition,3,MODAL VERBS,1,3
CBSE,Class 8,English,Grammar Success with Composition,1,ADJECTIVES,1,1
CBSE,Class 8,English,Grammar Success with Composition,2,COLLECTIVE AND ABSTRACT NOUNS,1,2
CBSE,Class 8,English,Grammar Success with Composition,3,DEGREES OF COMPARISON,1,3
CBSE,Class 8,English,Grammar Success with Composition,4,MODAL AUXILIARIES,1,4
