Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Fill-in-the-blank,Photosynthesis in plants is carried out during ___________ .,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Fill-in-the-blank,Sugarcane is the stem of grass which is used for preparing __________ .,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Fill-in-the-blank,The plants store food in the form of __________ .,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Fill-in-the-blank,Water and minerals are absorbed from the soil by ___________.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Very Short Answer Questions (QPG),How do plants support life?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Very Short Answer Questions (QPG),Why is a balance between plants and animals essential?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Multiple Choice Question (QPG) Test Paper,All animals depend upon plants for,N/A,shelter,food,None of these,protein,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Multiple Choice Question (QPG) Test Paper,"During photosynthesis, plants give off",N/A,carbon dioxide,None of these,oxygen,nitrogen,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Multiple Choice Question (QPG) Test Paper,Extra food which is prepared by plants is stored as,N/A,protein,starch,fat,None of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 4,Science,Learning Elementary Science (For Acad. Year 2023-24),Chapter 1 Plant Life,,,Multiple Choice Question (QPG) Test Paper,Gas taken in by the plants during photosynthesis is,N/A,oxygen,None of these,carbon dioxide,nitrogen,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
