Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 2. Role of Computers,Chapter 2. Role of Computers,,Multiple Choice Question (QPG) Test Paper,It can be helpful to remember some rhymes or poems if they are played out using.,N/A,video,printouts,music,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 2. Role of Computers,,,Multiple Choice Question (QPG) Test Paper,Lots of information can be obtained from:,N/A,dash engine,number engine,search engine,all of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 2. Role of Computers,,,Multiple Choice Question (QPG) Test Paper,"Sometimes, educational __________ come with books.",N/A,Floppy Disk,CDs,Cassettes,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 2. Role of Computers,,,Multiple Choice Question (QPG) Test Paper,You can find online __________ on the internet.,N/A,football stadiums to buy,cricket stadimus to buy,dictionaries,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 3. Input and Output Devices,,,Multiple Choice Question (QPG) Test Paper,A monitor is also known as ___________________.,N/A,DVD,VDU,Touchscreen,all of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 3. Input and Output Devices,,,Multiple Choice Question (QPG) Test Paper,Which of the following is a part of CPU?,N/A,Touchpad,CU,Microphone,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 3. Input and Output Devices,,,Multiple Choice Question (QPG) Test Paper,Which of the following is NOT a storage device?,N/A,Hard Disk,Pen Drive,Printer,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 5. Mouse - an Input Device,,,Multiple Choice Question (QPG) Test Paper,A mouse is kept on a ____________.,N/A,colorful paper,mouse pad,pad,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 5. Mouse - an Input Device,,,Multiple Choice Question (QPG) Test Paper,"What moves on the monitor screen, when you move a mousse ?",N/A,mouse pointer,mouse pad,Arrow,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
ICSE,Class 2,Computer Science,My Book of Computer Studies,Chapter 5. Mouse - an Input Device,,,Multiple Choice Question (QPG) Test Paper,Which button of mouse will you press to drag?,N/A,left,right,Scroll wheel,none of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
