Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Fill in the blank (QPG),________________ key is used to write capital letters.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Fill in the blank (QPG),____________________ key is used to start a new line.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Fill in the blank (QPG),A Computer thinks with its _______________________.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Fill in the blank (QPG),Computer is a ________________________ .,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Fill in the blank (QPG),Computer last longer if you take _____________________ of them.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Fill in the blank (QPG),Do not use the computer with _______________________ hands.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Fill in the blank (QPG),One should always eat _____________________ from the computer .,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Fill in the blank (QPG),One should press the keyboard keys very ____________________ .,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Fill in the blank (QPG),you can put blank spaces with _______________________ .,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Short Answer Questions (QPG),What is a computer ?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Short Answer Questions (QPG),How do good students teke care of their computer ?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Short Answer Questions (QPG),How do you correct your mistakes while typing ?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
CBSE,Class 3,Computer Science,Online with Computer,Chapter 1 Computers Introduction,,,Short Answer Questions (QPG),How do you use a mouse ?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","ONLINE WITH COMPUTERS COURSE BOOK 3,COMPUTERS INTRODUCTION",1
