Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for  Fill in the blank (QPG) you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),"Sun, Moon, animals are ___________________ things.",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),The ___________________ is the longest key on the keyboard.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),The ___________________ key is used to move to the next line.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),The ___________________ keys are used for typing numbers.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),The ___________________ keys are used for typing words.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),The ___________________ looks like TV.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),The computer uses ___________________ to think.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),There are ___________________ alphabet keys.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),There are ___________________ number keys.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,, Fill in the blank (QPG),We can write on computer screen by using ___________________.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,Multiple Choice Question (QPG) Test Paper,____________________ helps you to type alphabet and numbers.,N/A,Mouse,Keyboard,CPU,Monitor,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,Multiple Choice Question (QPG) Test Paper,____________________ key is used to erase the previous character.,N/A,Backspace,Enter,Caps Lock,Ctrl,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,Multiple Choice Question (QPG) Test Paper,____________________ key is used to insert a blank space.,N/A,Spacebar,Milkybar,Enter,Shift,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,Multiple Choice Question (QPG) Test Paper,"0, 1, 2, 3, 4, ..... are ____________________ keys.",N/A,Natural,Alphabet,Number,None of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,Short Answer Questions (QPG),"If you want to write your name in capital letters, which key will you use?",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,Short Answer Questions (QPG),"If you want to write your age, which type of keys will you use?",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,Short Answer Questions (QPG),Which key is used to insert blank space between two words?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,Short Answer Questions (QPG),Which key is used to move to the next line?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,Short Answer Questions (QPG),Which part of computer helps you to type?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),"Computer mouse is not much different from the animal of same
name.",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),A mobile phone is a machine used only for playing games.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),Backspace key is used to erase the previous letter.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),Caps Lock key is used to write small letters.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),Enter key is the longest key.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),Keyboard does not help you to type.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),Spacebar key is used to insert blank space.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),There are 12 number keys.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),We can listen to music on a computer.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
CBSE,Class 1,Computer Science,Desktop My Book of Computer Science,Chapter 3 Keyboard,,,True or False (QPG),You should touch the wires of a computer from time to time.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","DESKTOP MY BOOK OF COMPUTER SCIENCE BOOK 1,Keyboard",1
