Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for  Fill in the blank (QPG) you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),________ comes in between 69 and 71.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),_________ comes after 62.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),_________ comes before 91.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),"__________ is the smallest number among 43, 37, 29, 64, 88",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),15 comes between __________ and _________.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),38 _________38.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),38 is __________ tens and _________ones.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),43 is _________tens and _________one.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),50 comes between ______ and ______.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),67 is ________tens and _________ones.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),70 is _______tens and ________ones.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),72 is ________ tens and_______one.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),82________91.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),85 comes after _____________.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),99 is _________tens and________ones.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),"Complete the sequence 75, 80, ___________90.",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),Numeral of sixty nine is _________.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),ordinal number of nineteen is __________.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),"put "">, < or ="" between the given numbers 48 ________ 84",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),"put "">, < or ="" between the given numbers 61 _________ 61",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),"put "">, < or ="" between the given numbers 63 ______63",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
CBSE,Class 1,Mathematics,Star Maths,Chapter 1. Numbers,,, Fill in the blank (QPG),"put "">, < or ="" between the given numbers 74 ________57",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","STAR MATHS 1,Numbers",1
