Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for Fill in the blank (QPG) you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Fill in the blank (QPG),"Fill in the blanks with <, > or = :
1. 734 ___________ 369 
2. 930 ___________ 390 
3. 623 ___________ 433
4. 198 ___________ 891 
5. 367 ___________ 376",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Fill in the blank (QPG),"Fill in the blanks with <,> or = :
1. 3178 _________ 5297 
2. 7923 _________ 783 
3. 2005 _________ 2008
4. 3013 _________ 3103 
5. 5685 _________ 572",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Fill in the blank (QPG),2 thousands + 2 hundreds + 7 tens + 2 ones = ______________,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Fill in the blank (QPG),6 thousands + 5 hundreds + 9 ones = ______________,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Fill in the blank (QPG),7 thousands + 2 hundreds + 6 tens + 9 ones = ______________,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Fill in the blank (QPG),8 thousands + 3 hundreds + 5 tens + 4 ones = ______________,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Matching Question (QPG),"1. The smallest 2-digit number (a) 1
2. Place value of 2 in 5432 (b) 7423
3. The smallest odd number (c) 10
4. Seven thousand four hundred twenty three (d) 10 hundreds
5. 1 thousand (e) 14
6. XIV (f) 2",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,10 more than 5678 is :,N/A,5688,5868,5679,6678,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,5 thousands + 3 tens + 2 ones is equal to :,N/A,5302,5032,5320,532,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,5 thousands + 4 hundreds + 5 tens + 4 ones is equal to :,N/A,5544,5454,4545,4455,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,6 thousands + 2 hundreds + 4 tens + 7 ones is equal to :,N/A,6247,6427,6472,6724,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,7 thousands + 2 hundreds + 9 tens is equal to :,N/A,727,7207,7290,7270,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,9 thousands + 8 hundreds + 7 tens is equal to :,N/A,987,9807,9870,9087,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,Predecessor of 5300 is :,N/A,5301,5299,5199,5201,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,Successor of 8119 is :,N/A,8110,8114,8116,8120,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,"The greatest 4-digit number formed using the digits 1, 2, 9 and 3 is :",N/A,1293,3921,9321,1239,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,"The greatest number among 1999, 1987, 9991, 9998 is :",N/A,1999,1987,9991,9998,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,"The next number in the sequence 2345, 2346, 2347, 2348 is :",N/A,2344,2349,2438,2450,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,The number for six thousand seven hundred forty seven is :,N/A,6476,6747,6746,6647,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,The number represented by the given abacus is :,N/A,5636,3456,6543,5643,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,The place value of 2 in 2456 is :,N/A,20,200,2000,20000,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,The predecessor of 7638 is :,N/A,7630,7639,7640,7637,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,"The smallest 4-digit number formed using the digits 5, 7, 9 and 8 is :",N/A,5798,5978,5789,5897,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,The smallest 4-digit number is :,N/A,10,100,1000,999,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,"The smallest number among 7635, 8735, 3485, 6597 is :",N/A,6597,7635,8735,3485,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,There are _______ two-digit numbers in all.,N/A,10,90,99,100,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
CBSE,Class 3,Mathematics,Progress in Mathematics,Chapter 1 Numbers,,,Multiple Choice Question (QPG) Test Paper,Which of the following statements is correct?,N/A,421 < 335,520 > 610,123 > 456,985 > 963,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo","tagone,tagtwo",1
