#ID,Chapter Name,Chapter No,Board,Class,Subject,Series,Image,Position,Status,Action
1,,0,CBSE,Class 2,Integrated Subjects,Rise & Shine,,0,Inactive,
2,,0,CBSE,Class 2,Integrated Subjects,Rise & Shine,,0,Inactive,
3,,0,CBSE,Class 2,Integrated Subjects,Rise & Shine,,0,Inactive,
4,,0,CBSE,Class 2,Integrated Subjects,Rise & Shine,,0,Inactive,
5,,0,CBSE,Class 2,Integrated Subjects,Rise & Shine,,0,Inactive,
6,,0,CBSE,Class 2,Integrated Subjects,Rise & Shine,,0,Inactive,
7,Chapter 1. Globe : A Model of the Earth,1,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,1,Active,
8,Chapter 1. Myself,1,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,1,Active,
9,Chapter 1. Myself,1,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,1,Active,
10,Chapter 1. Our Motherland,1,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,1,Active,
11,Chapter 1. The Earth,1,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,1,Active,
12,Chapter 10. Forests and Wildlife,10,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,10,Active,
13,Chapter 10. Means of Communication,10,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,10,Active,
14,Chapter 10. School,10,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,10,Active,
15,Chapter 10. Sharing Work: Parents and Children,10,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,10,Active,
16,Chapter 10. The World of Growing Knowledge,10,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,10,Active,
17,Chapter 11. Festivals,11,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,11,Active,
18,Chapter 11. Fun and Play,11,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,11,Active,
19,Chapter 11. Healthcare,11,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,11,Active,
20,Chapter 11. People Who Help Us,11,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,11,Active,
21,Chapter 11. Water Resources,11,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,11,Active,
22,Chapter 12. Local Bodies,12,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,12,Active,
23,Chapter 12. My School,12,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,12,Active,
24,Chapter 12. National Festivals,12,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,12,Active,
25,Chapter 12. Our Mineral Resources,12,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,12,Active,
26,Chapter 12. The Age of Machines,12,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,12,Active,
27,Chapter 13 : Section And Mid Point Formulae,13,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,13,Active,
28,Chapter 13. Agriculture,13,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,13,Active,
29,Chapter 13. Delhi,13,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,13,Active,
30,Chapter 13. Great People Never Die,13,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,13,Active,
31,Chapter 13. My Classroom,13,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,13,Active,
32,Chapter 13. People Who Help Us,13,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,13,Active,
33,Chapter 14 : Equation Of A Straight Line,14,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,14,Active,
34,Chapter 14. Good Manners and Good Habits,14,CBSE,Class 1,Social Studies,Social Studies for Juniors (2023-24),,14,Active,
35,Chapter 14. Mumbai,14,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,14,Active,
36,Chapter 14. Our Human Resources,14,CBSE,Class 4,Social Studies,Social Studies for Juniors (2023-24),,14,Active,
37,Chapter 14. The Birth of the United Nations,14,CBSE,Class 5,Social Studies,Social Studies for Juniors (2023-24),,14,Active,
38,Chapter 14. Wheel,14,CBSE,Class 2,Social Studies,Social Studies for Juniors (2023-24),,14,Active,
39,Chapter 15 : Similarity As A Size Transformation,15,ICSE,Class 10,Mathematics,I.C.S.E. Foundation Mathematics (2023-24),,15,Active,
40,Chapter 15. Chennai,15,CBSE,Class 3,Social Studies,Social Studies for Juniors (2023-24),,15,Active,
