Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),_________________________ boys throw stones at birds.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),_______________________________ boys never tell lies.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),"In India we have _____________ weather in summer and _______________
weather in winter.",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),"An elephant is a ____________ animal, a mouse is a ____________ animal.",N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),Each boy __________________ a pen from the chief guest.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),Every student ___________________ a uniform to school.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),Farmers ________________ very hard to grow food.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),Good children _________________________ their parents and teachers.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),I ______________________ to have a good sleep in the afternoon.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),Lemons are _______________ grapes are _____________________ .,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),Monkeys have _____________________________________________ tails.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),My friend is _________________ to a movie.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),My knife is ________________________________,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),My uncle is ____________________ for dinner tonight.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),Rani is _________________ in the pool.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),The camel is a _______________________ animal.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),The Sharma family is ___________________ T.V.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),What a ______________________________________ boy you are!,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 5 The Adjective Kinds Of Adjectives,,,Fill in the blank (QPG),What are you _________________ at?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 3 The Noun Kinds Of Nouns,,,Fill in the blank (QPG),A _________________________ of bees flew out of the hive.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 3 The Noun Kinds Of Nouns,,,Fill in the blank (QPG),A ___________________________ of sheep was grazing in the valley.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 3 The Noun Kinds Of Nouns,,,Fill in the blank (QPG),A large __________________ of people gathered in the street.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 3 The Noun Kinds Of Nouns,,,Fill in the blank (QPG),An ____________________ consists of soldiers and commanders.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 3 The Noun Kinds Of Nouns,,,Fill in the blank (QPG),Our __________________________ consists of forty pupils.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
CBSE,Class 3,English,Elementary English Grammar and Composition ,Chapter 3 The Noun Kinds Of Nouns,,,Fill in the blank (QPG),Our ___________________________ won the match.,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Elementary English Grammar and Composition Class 3,1
