Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Position,Status,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 1 Tommy's Five Senses,1,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 2 Riley Goes to School,2,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 3 Aryan's Clean Neighbourhood,3,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 4 My Friends,4,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 5 The Magic crown,5,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 6 Animal Sounds,6,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 1 Myself,1,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 2 My Body,2,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 3 My Family,3,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 4 My Food Habits,4,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 5 My Sweet Home,5,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 6 Clothes,6,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 7 Air and Water,7,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 8 Keeping Healthy,8,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 9 Good Manners and Habits,9,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 1 Flowers Galore,1,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 2 Little Ones,2,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 3 Vegetable Mart,3,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 4 How to Save Water,4,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 5 Separate Wastes in Separate Bins,5,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 6 Yoga for Kids,6,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 7 Our Emotions and Emojis,7,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 8 Managing Our Emotions,8,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 9 Be a Smart Child,9,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 10 Healthy Lifestyle,10,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 11 Wash Your Hands After,11,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 12 Making Things Alive,12,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 13 Rhyme-a-Word,13,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 14 Making New from Old,14,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 15 Our Hobbies,15,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 16 Homes and Shelters,16,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 13 Future of Transport ,13,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 14 Should I? Shouldn't I? ,14,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 15 The Sun's Family ,15,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 16 On the Screen,16,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Mathematics,Chapter 1 Numbers up to 9,1,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Mathematics,Chapter 2 Addition up to 9,2,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Mathematics,Chapter 3 Subtraction up to 9,3,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Mathematics,Chapter 4 Numbers up to 20,4,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Mathematics,Chapter 5 Addition and Subtraction up to 20,5,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 1 : Mathematics,Chapter 6 Numbers up to 50,6,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : English,Chapter 1 Mandy's Vacation,1,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : English,Chapter 2 Manners,2,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : English,Chapter 3 John Hates Sports,3,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : English,Chapter 4 Mary Goes Shopping,4,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : English,Chapter 5 A Thank You Prayer,5,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : English,Chapter 6 Why is the Elephant Grey?,6,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Environmental Studies,Chapter 1 Be Safe,1,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Environmental Studies,Chapter 2 Neighbours and Neighbourhood,2,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Environmental Studies,Chapter 3 Means of Recreation,3,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Environmental Studies,Chapter 4 My Country,4,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Environmental Studies,Chapter 5 Our Helpers,5,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Environmental Studies,Chapter 6 It’s Time to Travel,6,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Environmental Studies,Chapter 7 Plants Around Us,7,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Environmental Studies,Chapter 8 Amazing World of Animals,8,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 1 Our Sky ,1,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 2 Parts of Computer ,2,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 3 Metro Cities ,3,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 4 Our Monuments ,4,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 5 The Capital City ,5,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 6 Popular Indians ,6,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 7 World Foods ,7,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 8 What do they speak? ,8,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 9 Countries and People ,9,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 10 Let’s Have Fun ,10,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 11 Memory Game ,11,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 12 Quiz 1 ,12,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 13 Quiz 2,13,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Mathematics,Chapter 1 Shapes and Patterns,1,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Mathematics,Chapter 2 Data Handling,2,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Mathematics,Chapter 3 Numbers up to 100,3,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Mathematics,Chapter 4 Addition and Subtraction up to 99,4,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Mathematics,Chapter 5 Measurement,5,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Mathematics,Chapter 6 Time,6,1,,,,,,,,,
CBSE,Class 1,Integrated Subjects,Rosemary,Semester 2 : Mathematics,Chapter 7 Money,7,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 1 The Squirrel,1,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 2 The Little Hen Bakes Bread,2,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 3 The Spic and Span Club,3,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 4 Trapped in Toy World,4,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 5 The Day Dad Made Dinner,5,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 6 Raindrops,6,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : English,Chapter 7 The Sweet Shop,7,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 1 More About Myself,1,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 2 My Body,2,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 3 Types of Families,3,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 4 Food for Health,4,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 5 Houses Around Us,5,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 6 Time to Dress Up,6,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 7 Air and Water,7,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 8 Health Is Wealth,8,1,,,,,,,,,
CBSE,Class 2,Integrated Subjects,Rosemary,Semester 1 : Environmental Studies,Chapter 9 Safety Rules,9,1,,,,,,,,,
