Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Position,Status
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 1 Waterfalls in India ,1,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 2 ‘Colour’ My City Name ,2,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 3 The First Woman in India to,3,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 4 During Online Classes,4,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 5 Indian Practices with Scientific Reasons ,5,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 6 Traditional Costumes ,6,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 7 Natural Wonders ,7,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 8 Famous Bridges ,8,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 9 Sobriquets ,9,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 10 LiFE Mission — Saving Energy ,10,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 11 Some Unique Trees ,11,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 12 Deadly Sea Creatures ,12,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 13 World’s Fastest Trains,13,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 1 Which Food am I?,1,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 2 Yoga for Kids,2,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 3 I Can Control Myself,3,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 4 Emotional Learning Report,4,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 5 The Book Store,5,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 6 Good Reads,6,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 7 Strange Sports to Play,7,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 8 Just Dance,8,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 9 Unusual Musical Instruments,9,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 10 First in Space,10,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 11 Chandragaan 3,11,1
CBSE,Class 4,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 12 Great Inventions,12,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 1 First Indian Woman to ,1,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 2 Handicrafts of North India ,2,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 3 UNESCO Heritage Sites in India,3,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 4 Jantar Mantar-Astronomical Wonder ,4,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 5 National Dishes ,5,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 6 The New Seven Wonders of the World,6,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 7 Famous Official Residences,7,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 8 LiFE Mission: Save Water ,8,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 9  Plastic Free Locations in India,9,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 10 Strange Sea Plants,10,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 11 Largest Fishes of the World,11,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 12 Plants That Heal ,12,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 13 News From the Future,13,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 1 : General Knowledge,Chapter 14 Netiquette,14,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 1 Be a Smart Child,1,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 2 Yoga for Kids,2,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 3 How Nature Helps Health,3,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 4 Pick a Book,4,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 5 From the Classics,5,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 6 Extremely Adventurous,6,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 7 Music from Around the World,7,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 8 Track and Field,8,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 9 Astronomical Observatories in India,9,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 10 Robots of 2022-2023,10,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 11 Humanoid Robots Today,11,1
CBSE,Class 5,Integrated Subjects,Rosemary,Semester 2 : General Knowledge,Chapter 12 Different Sciences,12,1
