Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Multiple Choice Question (QPG), Man became a food-producer from a food-gatherer during which Age?,N/A, Palaeolithic Age,Mesolithic Age,Neolithic Age,Modern Age,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersMultiple Choice Question (QPG),1
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Multiple Choice Question (QPG),Which of the following was not an important invention/discovery of Neolithic Age?,N/A,Invention of wheel,Discovery of agriculture,Discovery of fire ,Domestication of animals,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersMultiple Choice Question (QPG),1
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Multiple Choice Question (QPG),Which were the first animals to be domesticated by Neolithic people?,N/A,Sheep ,Goats ,Dogs ,All of these,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersMultiple Choice Question (QPG),1
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Multiple Choice Question (QPG),Which of the following Neolithic sites is located in Kashmir?,N/A,Mehrgarh ,Burzahom ,Chirand ,Koldihwa,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersMultiple Choice Question (QPG),1
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Multiple Choice Question (QPG),Which of the following statements is incorrect?,N/A,Early man believed in life after death.,"Animals such as goat, dog and sheep were buried along with the dead.",These were supposed to be used in the next world.,Early man did not believe in life after death,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersMultiple Choice Question (QPG),1
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Multiple Choice Question (QPG),The Period between 4500 BCE and 3500 BCE is referred to as,N/A, Neolithic Age,Chalcolithic Age,Palaeolithic Age,Mesolithic Age,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersMultiple Choice Question (QPG),1
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Multiple Choice Question (QPG),"During the Chalcolithic period, tools and vessels were made of",N/A,copper ,stone ,bronze , both (a) and (b),,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersMultiple Choice Question (QPG),1
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Multiple Choice Question (QPG),How did the invention of the wheel quicken the march of civilisation? Identify the appropriate reason from the following options.,N/A,Man could now make pots of different shapes and sizes.,Man could move heavy loads easily and go from one place to another faster.,It led to the invention of spindle whorls for weaving cloth.,All of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersMultiple Choice Question (QPG),1
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Very Short Answer Questions (QPG),What was the most important development of Neolithic Age?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersVery Short Answer Questions (QPG),1
CBSE,Class 6,Social Science,Social Science Success (2023-24),History 3 The First Farmers and Herders,,,Very Short Answer Questions (QPG),Name two important archaeological sites of Neolithic India?,N/A,,,,,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",Social Science Success (2023-24)History 3. The first farmers and herdersVery Short Answer Questions (QPG),1
