Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,Multiple Choice Question (QPG) Test Paper,After studying for long hours we get ,tired,excited,tired,lazy,active,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator MCQ 1 ,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,Multiple Choice Question (QPG) Test Paper,_______is an example of recreation.,Eating out,Studying,Giving exams,Sleeping,Eating out,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator MCQ 2,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,Multiple Choice Question (QPG) Test Paper,Cricket is a __________game.,outdoor,outdoor,boring,violent,indoor,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator MCQ 3,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,Multiple Choice Question (QPG) Test Paper,Ludo is a______game.,indoor,outdoor,indoor,fast,team,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator MCQ 4,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,Multiple Choice Question (QPG) Test Paper,____________is the festival of lights.,Diwali,Christmas,Diwali,Eid,Gurpurab,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator MCQ 5,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,Multiple Choice Question (QPG) Test Paper,On  ________people eat sewaiyan.,Eid,Gurpurab,Diwali,Eid,Christmas,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator MCQ 6,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,True or False (QPG),We decorate trees on Christmas.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator True or False 1,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,True or False (QPG),Balwinder and Maninder celebrate Eid.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator True or False 2,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,True or False (QPG),People worship Goddess Lakshmi on Diwali.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator True or False 3,1
CBSE,Class 1,Environmental Studies,Illustrative Environmental Studies,Chapter 12 Means of Recreation,,,True or False (QPG),Reading books is not a means of recreation.,NA,,,,,,Weight1,Medium,Test Learning Outcome 1,Medium,Illustrative Environmental Studies Class 1 Chapter 12 Means of Recreation Test Paper Generator True or False 4,1
