Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"Question(If question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3)",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,Short Answer Questions (QPG),What types of roofs do you see in houses?,N/A,,,,,,Weight1,Easy,Test Learning Outcome 1,Easy, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  Short Answer Questions (QPG) 1_1,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,Short Answer Questions (QPG),What colours do you see in houses around your neighbourhood?,N/A,,,,,,Weight1,Easy,Test Learning Outcome 1,Easy, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  Short Answer Questions (QPG) 1_2,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,Short Answer Questions (QPG),Name different types of houses you have seen in cities or villages.,N/A,,,,,,Weight1,Easy,Test Learning Outcome 1,Easy, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  Short Answer Questions (QPG) 1_3,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,One Word Answer (QPG),The house we live in with our family is called our home/school.,N/A,,,,,,Weight2,Easy,Test Learning Outcome 1,Easy, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  One Word Answer (QPG) 2_1,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,One Word Answer (QPG),A hut is a kutcha/pucca house.,N/A,,,,,,Weight2,Easy,Test Learning Outcome 1,Easy, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  One Word Answer (QPG) 2_2,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,One Word Answer (QPG),A flat is a kutcha/pucca house.,N/A,,,,,,Weight2,Easy,Test Learning Outcome 1,Easy, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  One Word Answer (QPG) 2_3,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,One Word Answer (QPG),4. Kutcha houses are found in cities/ villages.,N/A,,,,,,Weight2,Easy,Test Learning Outcome 1,Easy, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  One Word Answer (QPG) 2_4,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,One Word Answer (QPG),Pucca houses are made of bricks/straw.,N/A,,,,,,Weight2,Easy,Test Learning Outcome 1,Easy, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  One Word Answer (QPG) 2_5,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,One Word Answer (QPG),A bungalow is a big/small house.,N/A,,,,,,Weight2,Easy,Test Learning Outcome 1,Easy, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  One Word Answer (QPG) 2_6,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,Fill in the blank (QPG),Why do we need a house?,N/A,,,,,,Weight3,Hard,Test Learning Outcome 1,Hard, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  Fill in the blank (QPG) 3_1,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,Fill in the blank (QPG),What is a kutcha house?,N/A,,,,,,Weight3,Hard,Test Learning Outcome 1,Hard, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  Fill in the blank (QPG) 3_2,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,Fill in the blank (QPG),What is a pucca house?,N/A,,,,,,Weight3,Hard,Test Learning Outcome 1,Hard, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  Fill in the blank (QPG) 3_3,1
CBSE,Class 1,Social Studies,Illustrative Social Studies,Chapter 8- Home is the Best,,,Fill in the blank (QPG),Where do we have houses with sloping roofs?,N/A,,,,,,Weight3,Hard,Test Learning Outcome 1,Hard, Illustrative Social Studies Class 1 Chapter 8- Home is the Best  Fill in the blank (QPG) 3_4,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
