Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,"QuestionIf question is mcq or Assertion & Reason  use option 1 to option 4 and in answer give 1,2,3,4 number only not option value, if true false, or any other type question give answer in answer coloumn and for fill in the blanks you can use comma seprator for multiple filling answers eg fill1,fill2, fill3 : ",Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Multiple Choice Question (QPG) Test Paper,We should not touch electric switches with,N/A,dry hands,bare hands,wet hands,left hand,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :MCQ 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Multiple Choice Question (QPG) Test Paper,We should always walk on the,N/A,footpath,wall,road,terrace,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :MCQ 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Multiple Choice Question (QPG) Test Paper,The immediate help given to an injured person is called,N/A,first aid,last aid ,safety aid,second aid,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :MCQ 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Multiple Choice Question (QPG) Test Paper,We should play with,N/A,blade,toys,knife,scissors,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :MCQ 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,True or False (QPG),We should give immediate help to an injured person.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :True and false 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,True or False (QPG),"On the road, there is no need to be careful.",N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :True and false 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,True or False (QPG),We should not crowd around an injured person.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :True and false 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,True or False (QPG),We should not push our friends on swings.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :True and false 4,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,True or False (QPG),We should play outside during heavy rainfall.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :True and false 5,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Very Short Answer Questions (QPG),Any two things you should not play with ___________________.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Very Short Ans Ques 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Very Short Answer Questions (QPG),Any two safety rules to be followed in the classroom ___________________.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Very Short Ans Ques 2,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Very Short Answer Questions (QPG),Two things that are used to clean a bleeding wound ___________________.,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Very Short Ans Ques 3,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Short Answer Questions (QPG),What should you do when someone gets a small cut?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Short ans type ques 1,1
CBSE,Class 3,Science,Illustrative Science,Chapter 8- Safety and First Aid,,,Short Answer Questions (QPG),What is an earthquake?,N/A,,,,,,Other,Medium,Test Learning Outcome 1,"Skillone,skilltwo",Illustrative Science  Class 3 Chapter 8 Safety and First Aid :Short ans type ques 2,1
