Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,Question,Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Everything in this universe is made up of ,3,  elements,  metals,  matter,None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 1,1
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Indian philosophers classified matter in the form of,3,  two basic elements,  three basic elements,  five basic elements,None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 2,1
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Early Indian philosophers classified matter in the form of five basic elements. These five  elements are:,3,"  solid, liquid, gas, plasma and Bose-Einstein Condensate","  element, compound, atoms, molecules and water","  air, earth, fire, sky and water",None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 3,1
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Modern day scientists have evolved two types of classification of matter based on their,3,  physical properties,  chemical nature,  both a and b,None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 4,1
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Which of the following is not matter?,3,  Taste,  Vision,  Both A and B,None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 5,1
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Matter is:,3,  living thing,  non-living thing,  anything that occupies space,None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 6,1
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Matters occupies space and have,3,  mass,  volume,  all of these,None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 7,1
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Which of the following is the simplest form of matter?,1,  Element,  Mixture,  Compound,None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 8,1
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Air is classified as matter because___________,3,  we can feel it when it blows.,  it occupies space and has mass.,  both a and ,None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 9,1
CBSE,Class 9,Science,NCERT Science,Chapter 1 Matter In Our Surroundings,,,Multiple Choice Question (Online),Matter is anything that_______________,1,  occupies space and have mass.,  have mass and space.,  we cannot see.,None of the Above,,Other,Hard,,,NCERT Science Class 9 Chapter 1 Matter In Our Surroundings Multiple Choice Question (Quiz) 10,1
