Board Name,Class Name,Subject Name,Series Name,Chapter Name,Topic Name,Subtopic Name,Question Type,Question,Answer,Option1,Option2,Option3,Option4,Explanation,Question Weight(optional),Difficulty Level,Learning Outcomes(optional),"Skills(optional if any seprate with comma ,)","Tags(optional if any seprate with comma ,)","Status(1==active,0=Inactive)"
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),Semiperimeter of scalene triangular of side <em>a</em> 2<em>a</em> and 3<em>a</em> is:</strong>  ,1, 3<em>a</em>  , 2<em>a</em>  , 4<em>a</em>  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 1,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),The semiperimeter of a triangle having the length of its sides as 20 cm 15 cm and 9 cm is:</strong>  ,2, 20 cm  , 22 cm  , 44 cm  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 2,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),Heron&rsquo;s formula is:</strong>  ,3," D =&nbsp;<span class=""math-tex"">\(\sqrt{s(s+a)(s+b)(s+c)}\)</span>  "," D = <span class=""math-tex"">\(\sqrt{s(s-a)(s--b)(s-c)}\)</span> <em>s</em> = <em>a</em> + <em>b</em> + <em>c</em>  "," D = <span class=""math-tex"">\(\sqrt{s(s-a)(s--b)(s-c)}\)</span> 2<em>s</em> = <em>a</em> + <em>b</em> + <em>c</em>  ",None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 3,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),"The area of an equilateral triangle with side 2<span class=""math-tex"">\(\sqrt{\mathbf3}\)</span>&nbsp;cm is:</strong>  ",3, 5.196 cm<sup>2</sup>  , 0.866 cm<sup>2</sup>  , 3.946 cm<sup>2</sup>  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 4,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),"The length of each side of an equilateral triangle having an area of 9<span class=""math-tex"">\(\sqrt{\mathbf3}\)</span>&nbsp;cm2 is:</strong>  ",3, 8 cm  , 4 cm  , 6 cm  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 5,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),An isosceles right triangle has area 8 cm<sup>2</sup>. The length of its hypotenuse is:</strong>  ,1,"&nbsp;<span class=""math-tex"">\(\sqrt{32}\)</span> cm  "," <span class=""math-tex"">\(\sqrt{16}\)</span> cm  ","&nbsp;<span class=""math-tex"">\(\sqrt{24}\)</span> cm  ",None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 6,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),The perimeter of an equilateral triangle is 60 m. The area is:</strong>  ,3," 10 <span class=""math-tex"">\(\sqrt{3}\)</span> m<sup>2</sup>  "," 20 <span class=""math-tex"">\(\sqrt{3}\)</span> m<sup>2</sup>  "," 100 <span class=""math-tex"">\(\sqrt{3}\)</span> m<sup>2</sup>  ",None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 7,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),One leg of a right triangle is 10 cm and hypotenuse is 26 cm. Its area will be:</strong>  ,1, 120 cm<sup>2</sup>  , 180 cm<sup>2</sup>  , 240 cm<sup>2</sup>  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 8,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online), The area of a triangle having sides 1 m 2 m and 2 m is:  ,3," 4 <span style=""font-size:14px""><span class=""math-tex"">\(\sqrt{15}\)</span></span> m<sup>2</sup>  ","&nbsp;<span style=""font-size:14px""><span class=""math-tex"">\(\frac{\sqrt{15}}{2}\)</span></span> m<sup>2</sup>  ","&nbsp;<span style=""font-size:14px""><span class=""math-tex"">\(\frac{\sqrt{15}}{4}\)</span></span>  ",None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 9,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),The angles of a triangle are in the ratio 5 : 3 : 7 the triangle is:</strong>  ,2, An acute angled triangle  , An obtuse angled triangle  , A right triangle  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 10,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),If the side of a rhombus is 10 cm and one diagonal is 16 cm then the area of the rhombus is:</strong>  ,2, 48 cm<sup>2</sup>  , 96 cm<sup>2</sup>  , 102 cm<sup>2</sup>  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 11,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),The area of a quadrilateral ABCD in which AB = 3 cm BC = 4 cm CD = 4 cm DA = 5 cm and AC = 5 cm is :</strong>  ,2," (3 + <span style=""font-size:14px""><span class=""math-tex"">\(\sqrt{21}\)</span></span>) cm<sup>2</sup>  "," 2 (3 + <span style=""font-size:14px""><span class=""math-tex"">\(\sqrt{21}\)</span></span>) cm<sup>2</sup>  "," 2 <span style=""font-size:14px""><span class=""math-tex"">\(\sqrt{21}\)</span></span> cm<sup>2</sup>  ",None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 12,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),The area of a rhombus is 96 sq cm. If one of its diagonals is 16 cm then the length of its side is:</strong>  ,3, 8 cm  , 18 cm  , 10 cm  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 13,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),The adjacent of a parallelogram are 3 cm and 7 cm. The ratio of their altitudes is:</strong>  ,2, 3 : 7  , 7 : 3  , 4 : 7  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 14,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),The area of a regular hexagon of side <em>x</em> is:</strong>  ,3," 3<span style=""font-size:14px""><span class=""math-tex"">\(\sqrt{3}\)</span></span>&nbsp;<em>x</em><sup>2</sup>  "," 2<span style=""font-size:14px""><span class=""math-tex"">\(\frac{2\sqrt{3}}{3}\)</span></span><em>x</em><sup>2</sup>  "," <span style=""font-size:14px""><span class=""math-tex"">\(\frac{3\sqrt{3}}{3}\)</span></span><em>x</em><sup>2</sup>  ",None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 15,1
CBSE,Class 9,Mathematics,NCERT Mathematics,Chapter 12. Heron s Formula,,,Multiple Choice Question (Online),A field is in the shape of a trapezium whose parallel sides are 25 m and 10 m. If its non-parallel&nbsp;sides are 14 m and 13 m then its area is:</strong>  ,1, 196 m<sup>2</sup>  , 148 m<sup>2</sup>  , 248 m<sup>2</sup>  ,None of the above,,Other,Hard,Test Learning Outcome 1,"Skillone,skilltwo",NCERT Mathematics Class 9 Chapter 12. Heron’s Formula Multiple Choice Question (Online) Quiz 16,1
