Board Name,Class Name,Subject Name,Series Name,Chapter Number,Chapter Name,Status,Position
CBSE,Class 4,Integrated Subjects,Rosemary,1,Sem 01 - English : Chapter 1 Tree Blessing,1,1
CBSE,Class 4,Integrated Subjects,Rosemary,2,Sem 01 - English : Chapter 2 Tenzin and the Yeti,1,2
CBSE,Class 4,Integrated Subjects,Rosemary,3,Sem 01 - English : Chapter 3 The Tiny Elf,1,3
CBSE,Class 4,Integrated Subjects,Rosemary,4,Sem 01 - English : Chapter 4 Silver,1,4
CBSE,Class 4,Integrated Subjects,Rosemary,5,Sem 01 - English : Chapter 5 Clever Tenali Rama,1,5
CBSE,Class 4,Integrated Subjects,Rosemary,6,Sem 01 - English : Chapter 6 An Indian Lunch,1,6
CBSE,Class 4,Integrated Subjects,Rosemary,7,"Sem 01 - English : Chapter 7 A House, A Home",1,7
CBSE,Class 4,Integrated Subjects,Rosemary,8,Sem 01 - Mathematics : Chapter 1 Numbers Beyond 9999,1,8
CBSE,Class 4,Integrated Subjects,Rosemary,9,Sem 01 - Mathematics : Chapter 2 Addition and Subtraction,1,9
CBSE,Class 4,Integrated Subjects,Rosemary,10,Sem 01 - Mathematics : Chapter 3 Multiplication,1,10
CBSE,Class 4,Integrated Subjects,Rosemary,11,Sem 01 - Mathematics : Chapter 4 Division,1,11
CBSE,Class 4,Integrated Subjects,Rosemary,12,Sem 01 - Mathematics : Chapter 5 Multiples and Factors,1,12
CBSE,Class 4,Integrated Subjects,Rosemary,13,Sem 01 - Mathematics : Chapter 6 Pictorial Representation of Data,1,13
CBSE,Class 4,Integrated Subjects,Rosemary,14,Sem 01 - Science : Chapter 1 Plants : The Producers,1,14
CBSE,Class 4,Integrated Subjects,Rosemary,15,Sem 01 - Science : Chapter 2 Adaptations in Plants,1,15
CBSE,Class 4,Integrated Subjects,Rosemary,16,Sem 01 - Science : Chapter 3 Reproduction in Animals,1,16
CBSE,Class 4,Integrated Subjects,Rosemary,17,Sem 01 - Science : Chapter 4 Adaptations in Animals,1,17
CBSE,Class 4,Integrated Subjects,Rosemary,18,Sem 01 - Science : Chapter 5 Food: Our Basic Need,1,18
CBSE,Class 4,Integrated Subjects,Rosemary,19,Sem 01 - Science : Chapter 6 The Food Journey,1,19
CBSE,Class 4,Integrated Subjects,Rosemary,20,Sem 01 - Science : Chapter 7 Human Teeth and Digestive System,1,20
CBSE,Class 4,Integrated Subjects,Rosemary,21,Sem 01 - Social Studies : Chapter 1 Family Connections,1,21
CBSE,Class 4,Integrated Subjects,Rosemary,22,Sem 01 - Social Studies : Chapter 10 soil,1,22
CBSE,Class 4,Integrated Subjects,Rosemary,23,Sem 01 - Social Studies : Chapter 11 Our Water Resources,1,23
CBSE,Class 4,Integrated Subjects,Rosemary,24,Sem 01 - Social Studies : Chapter 2 Physical Features of India,1,24
CBSE,Class 4,Integrated Subjects,Rosemary,25,Sem 01 - Social Studies : Chapter 3 The Northern Mountains,1,25
CBSE,Class 4,Integrated Subjects,Rosemary,26,Sem 01 - Social Studies : Chapter 4 The Northern Plains,1,26
CBSE,Class 4,Integrated Subjects,Rosemary,27,Sem 01 - Social Studies : Chapter 5 The Great Indian Desert,1,27
CBSE,Class 4,Integrated Subjects,Rosemary,28,Sem 01 - Social Studies : Chapter 6 The Southern Plateaus,1,28
CBSE,Class 4,Integrated Subjects,Rosemary,29,Sem 01 - Social Studies : Chapter 7 The Coastal Plains and Islands,1,29
CBSE,Class 4,Integrated Subjects,Rosemary,30,Sem 01 - Social Studies : Chapter 8 The Climate of India,1,30
CBSE,Class 4,Integrated Subjects,Rosemary,31,Sem 01 - Social Studies : Chapter 9 Forests and Wildlife of India,1,31
CBSE,Class 4,Integrated Subjects,Rosemary,32,Sem 02 - English : Chapter 1 Speak up for What's Right,1,32
CBSE,Class 4,Integrated Subjects,Rosemary,33,Sem 02 - English : Chapter 2 The Proud Moment,1,33
CBSE,Class 4,Integrated Subjects,Rosemary,34,Sem 02 - English : Chapter 3 Raza Meets the King,1,34
CBSE,Class 4,Integrated Subjects,Rosemary,35,Sem 02 - English : Chapter 4 Grandma's First E-mail,1,35
CBSE,Class 4,Integrated Subjects,Rosemary,36,Sem 02 - English : Chapter 5 Another Chance,1,36
CBSE,Class 4,Integrated Subjects,Rosemary,37,Sem 02 - English : Chapter 6 Dreams Come True,1,37
CBSE,Class 4,Integrated Subjects,Rosemary,38,Sem 02 - English : Chapter 7 The New Sanskrit Teacher,1,38
CBSE,Class 4,Integrated Subjects,Rosemary,39,Sem 02 - Mathematics : Chapter 1 FRACTIONS,1,39
CBSE,Class 4,Integrated Subjects,Rosemary,40,Sem 02 - Mathematics : Chapter 2 GEOMETRY,1,40
CBSE,Class 4,Integrated Subjects,Rosemary,41,Sem 02 - Mathematics : Chapter 3 PATTERNS,1,41
CBSE,Class 4,Integrated Subjects,Rosemary,42,Sem 02 - Mathematics : Chapter 4 MEASUREMENT,1,42
CBSE,Class 4,Integrated Subjects,Rosemary,43,Sem 02 - Mathematics : Chapter 5 TIME,1,43
CBSE,Class 4,Integrated Subjects,Rosemary,44,Sem 02 - Mathematics : Chapter 6 MONEY,1,44
CBSE,Class 4,Integrated Subjects,Rosemary,45,Sem 02 - Science : Chapter 1 Hygience and Safety,1,45
CBSE,Class 4,Integrated Subjects,Rosemary,46,"Sem 02 - Science : Chapter 2 Solids, Liquids and Gases",1,46
CBSE,Class 4,Integrated Subjects,Rosemary,47,"Sem 02 - Science : Chapter 3 Force, Work and Energy",1,47
